Date,Location,Distance,Prize,Category,Class,Ground_state,Horses
               08. Mai 2016             ,              Mannheim            ,1900 m  ,  5100 €,D,3yo,                     Boden: gut                  ,"['                   1.             ', ' Sumara ', 'V.Schiergen', '', '55,0', '                   2.             ', ' Cumbriano ', 'S.Hofer', '', '57,0', '                   3.             ', ' Joker ', 'R.Piechulek', '', '57,5', '                   4.             ', ' Incredible Thunder (GB) ', 'F.X.Weißmeier', '', '57,0', '                   5.             ', ' Pagina De Mi Vida ', 'M.Pecheur', '', '55,0', '                   6.             ', ' Bonds Tricks (GB) ', 'N.Sechi', '', '53,0', '                   7.             ', ' Betsy Coed (IRE) ', 'L.Giesgen', '', '54,0', '                   8.             ', ' Kerecsen (HUN) ', 'B.Dobrovitz', '', '52,0']"
               08. Mai 2016             ,              Mannheim            ,1900 m  ,  9400 €,C,II,                     Boden: gut                  ,"['                   1.             ', ' Motabaary (IRE) ', 'E.M.Zwingelstein', '', '55,0', '                   2.             ', ' Kitaneso (GB) ', 'M.Pecheur', '', '57,0', '                   3.             ', ' Fuscano ', 'R.Danz', '', '52,0', '                   4.             ', ' Abbey ', 'T.Scardino', '', '58,0', '                   5.             ', ' Pissarro ', 'V.Schiergen', '', '55,0', '                   6.             ', ' Monte Napoleone (FR) ', 'H.Mouchova', '', '52,0', '                   7.             ', ' Shining Rules ', 'B.Ganbat', '', '56,5', '                   8.             ', ' Belango ', 'F.X.Weißmeier', '', '61,5', '                   9.             ', ' Eastsite One ', 'R.Piechulek', '', '60,0']"
               08. Mai 2016             ,              Mannheim            ,1900 m  ,  3200 €,F,IV,                     Boden: gut                  ,"['                   1.             ', ' Ignaz ', 'M.Ehm', '', '55,0', '                   2.             ', ' Vinea Valentine ', 'E.M.Zwingelstein', '', '59,0', '                   3.             ', ' Lezar ', 'H.Mouchova', '', '53,0', '                   4.             ', ' Moon Over Bavaria ', 'R.Danz', '', '52,0', '                   5.             ', ' Rock Charm (GB) ', 'S.Hofer', '', '59,0', '                   6.             ', ' Skyline ', 'L.Giesgen', '', '59,0', '                   7.             ', ' Oske ', 'B.Weber', '', '58,0', '                   8.             ', ' Hartshead Flyer (IRE) ', 'P.Kurimska', '', '63,0']"
               08. Mai 2016             ,              Mannheim            ,2500 m  ,  2600 €,F,,                     Boden: gut                  ,"['                   1.             ', ' Sworn Terz ', 'M.Pecheur', '', '60,0', '                   2.             ', ' Königsland ', 'M.Lopez', '', '59,0', '                   3.             ', ' Tinkers Lane (IRE) ', 'R.Danz', '', '58,0', '                   4.             ', ' Blyth Harbour (IRE) ', 'F.X.Weißmeier', '', '61,0', '                   5.             ', ' Perfect Swing (IRE) ', 'R.Piechulek', '', '58,0', '                   6.             ', ' Crabbies Choice (GB) ', 'N.Sechi', '', '53,0']"
               15. Mai 2016             ,              Hoppegarten            ,1600 m  ,  8750 €,D,3yo,                     Boden: gut                  ,"['                   1.             ', ' Amalie ', 'F.Tylicki', '', '55,0', '                   2.             ', ' Saxone (IRE) ', 'A.Suborics', '', '58,0', '                   3.             ', ' Ruby Red ', 'A.Starke', '', '56,0', '                   4.             ', ' Tempellicht ', 'R.Piechulek', '', '55,0', '                   5.             ', ' Lord Of Karma ', 'I.Ferguson', '', '57,0', '                   6.             ', ' Kings Soldier ', 'E.Pedroza', '', '57,0', '                   7.             ', ' Kohana (FR) ', 'B.Ganbat', '', '55,0', '                   8.             ', ' Bill Ferdinand ', 'D.Schiergen', '', '57,0', '                   9.             ', ' Nibelungenfürst ', 'A.Best', '', '57,0']"
               15. Mai 2016             ,              Hoppegarten            ,2000 m  ,  5100 €,D,3yo,                     Boden: gut                  ,"['                   1.             ', ' Meergörl ', 'F.Tylicki', '', '56,5', '                   2.             ', ' Wild Approach ', 'F.Minarik', '', '59,0', '                   3.             ', ' Deauville Crystal (FR) ', 'E.Pedroza', '', '59,0', '                   4.             ', ' Laurette (IRE) ', 'A.Starke', '', '57,0', '                   5.             ', ' Eyla ', 'J.Bojko', '', '56,0', '                   6.             ', ' Athalyna ', 'B.Ganbat', '', '56,0']"
               15. Mai 2016             ,              Hoppegarten            ,1800 m  ,  8000 €,E,III,                     Boden: gut                  ,"['                   1.             ', ' Nostro Amico ', 'R.Piechulek', '', '64,0', '                   2.             ', ' Burschentanz ', 'I.Ferguson', '', '62,5', '                   3.             ', ' Nightdance Prince ', 'T.Scardino', '', '57,0', '                   4.             ', ' Blooming Stars (GB) ', 'R.Weber', '', '60,5', '                   5.             ', ' Laboe ', 'A.Starke', '', '62,5', '                   6.             ', ' Kenia ', 'D.Porcu', '', '58,0', '                   7.             ', ' Chrysanthus ', 'F.Minarik', '', '55,5', '                   8.             ', ' Warlu Way (GB) ', 'E.Pedroza', '', '58,0', '                   9.             ', ' Lepanosie ', 'A.Best', '', '55,0', '                   10.             ', ' Cabanello (IRE) ', 'B.Ganbat', '', '58,0', '                   11.             ', ' Valentino Vendett ', 'T.Schurig', '', '50,0', '                   0.             ', ' Marolo ', 'J.Bojko', '', '52,0']"
               15. Mai 2016             ,              Hoppegarten            ,1600 m  ,  52000 €,C,3yo,                     Boden: gut                  ,"['                   1.             ', ' Bastille ', 'A.Starke', '', '53,5', '                   2.             ', ' Halli Galli ', 'M.Seidl', '', '52,0', '                   3.             ', ' Avicenna (FR) ', 'S.Hellyn', '', '54,0', '                   4.             ', ' Volcancito (SWI) ', 'E.Pedroza', '', '59,0', '                   5.             ', ' Mister Mowgli ', 'A.Suborics', '', '57,0', '                   5.             ', ' Vatenko ', 'F.Tylicki', '', '55,0', '                   7.             ', ' Digitalis (IRE) ', 'F.Minarik', '', '59,0', '                   8.             ', ' Wonnemond ', 'B.Ganbat', '', '59,0', '                   9.             ', ' Kordestan (IRE) ', 'J.Bojko', '', '52,0']"
               15. Mai 2016             ,              Hoppegarten            ,2000 m  ,  12000 €,C,II,                     Boden: gut                  ,"['                   1.             ', ' Loulous Jackpot ', 'F.Minarik', '', '53,0', '                   2.             ', ' Oscar ', 'D.Porcu', '', '58,0', '                   3.             ', ' Niron ', 'J.Bojko', '', '52,5', '                   4.             ', ' Lincoln County (GB) ', 'F.F.Da Silva', '', '52,5', '                   5.             ', ' A Miracle ', 'T.Schurig', '', '52,0', '                   6.             ', ' Iffinvasion ', 'R.Schistl', '', '58,0', '                   7.             ', ' Foreign Hill ', 'N.Richter', '', '57,5', '                   8.             ', ' Delegation (FR) ', 'M.Seidl', '', '59,0', '                   9.             ', ' Summershine (IRE) ', 'A.Best', '', '60,0', '                   10.             ', ' Sarisha ', 'S.Hellyn', '', '57,0']"
               15. Mai 2016             ,              Hoppegarten            ,1600 m  ,  6500 €,F,IV,                     Boden: gut                  ,"['                   1.             ', ' Reality ', 'R.Weber', '', '61,0', '                   2.             ', ' Lady Charlie (GB) ', 'T.Scardino', '', '60,0', '                   3.             ', ' My Mission (IRE) ', 'D.Schiergen', '', '61,5', '                   4.             ', ' Nemesis ', 'S.Hellyn', '', '56,5', '                   5.             ', ' Auensee ', 'F.F.Da Silva', '', '54,0', '                   6.             ', ' Mississippi ', 'A.Starke', '', '57,0', '                   7.             ', ' Meadow Dew ', 'N.Richter', '', '60,5', '                   8.             ', ' Eyasi (IRE) ', 'B.Ganbat', '', '56,5', '                   9.             ', ' Ocario ', 'D.Porcu', '', '59,5', '                   10.             ', ' Kimara ', 'L.M.Engels', '', '53,5', '                   11.             ', ' Kalypso King ', 'F.Minarik', '', '54,0', '                   12.             ', ' Nikia ', 'J.Bojko', '', '54,0', '                   13.             ', ' Dashings Diamond ', 'A.Best', '', '56,5']"
               15. Mai 2016             ,              Hoppegarten            ,3200 m  ,  55000 €,A,Gr III,                     Boden: gut                  ,"['                   1.             ', ' Wasir ', 'R.Schistl', '', '56,0', '                   2.             ', ' Alex My Boy (IRE) ', 'E.Pedroza', '', '59,0', '                   3.             ', ' Bebe Cherie (FR) ', 'M.Seidl', '', '54,5', '                   4.             ', ' Rock Of Romance (IRE) ', 'J.Bojko', '', '56,0', '                   5.             ', ' Walzertakt ', 'R.Piechulek', '', '59,0', '                   6.             ', ' Lovato ', 'A.Starke', '', '56,0', '                   7.             ', ' Iraklion ', 'F.Minarik', '', '57,0', '                   8.             ', ' The Twisler (GB) ', 'A.Suborics', '', '57,0', '                   9.             ', ' Space Cowboy ', 'F.Tylicki', '', '56,0']"
               15. Mai 2016             ,              Hoppegarten            ,2000 m  ,  4500 €,F,IV,                     Boden: gut                  ,"['                   1.             ', ' Run On Fire (IRE) ', 'M.Seidl', '', '57,5', '                   2.             ', ' Saluta ', 'R.Weber', '', '59,0', '                   3.             ', ' Amondo ', 'A.Best', '', '53,0', '                   4.             ', ' New Jersey ', 'F.F.Da Silva', '', '58,0', '                   5.             ', ' Iraja ', 'B.Ganbat', '', '53,0', '                   6.             ', ' Zaunkönig ', 'D.Schiergen', '', '61,0', '                   7.             ', ' Sydney City ', 'F.Minarik', '', '57,5', '                   8.             ', ' Love Flowers ', 'P.Gibson', '', '62,0', '                   9.             ', ' Nitropa ', 'S.Hellyn', '', '56,0']"
               15. Mai 2016             ,              Saarbrücken            ,1900 m  ,  3100 €,F,IV,                     Boden: g-w                  ,"['                   1.             ', ' Rock Of Run (FR) ', 'E.Herresthal', '', '58,0', '                   2.             ', ' Baker Man (IRE) ', 'K.Braye', '', '63,0', '                   3.             ', ' Amor Fati ', 'L.Bieß', '', '58,0', '                   4.             ', ' East Of Eden ', 'O.Laznovska', '', '59,0', '                   5.             ', ' Jocund (GB) ', 'M.Blumenauer', '', '61,0', '                   6.             ', ' Mishtaag (GB) ', 'B.Weber', '', '58,0', '                   7.             ', ' Gambe (FR) ', 'L.Giesgen', '', '58,0', '                   8.             ', ' Preussenprinz ', 'M.Gier', '', '61,0', '                   9.             ', ' Montesita ', 'A.Liebert', '', '55,0', '                   10.             ', ' Opportune DOroux (FR) ', 'L.M.Mattes', '', '58,0', '                   0.             ', ' Schneekönigin (FR) ', 'C.Fleißner', '', '60,0']"
               15. Mai 2016             ,              Saarbrücken            ,1900 m  ,  4200 €,E,IV,                     Boden: g-w                  ,"['                   1.             ', ' Smoke On The Water ', 'L.Bieß', '', '60,0', '                   2.             ', ' Twinnie ', 'M.Pecheur', '', '52,0', '                   3.             ', ' Alkaldo ', 'C.Henrique', '', '54,5', '                   4.             ', ' Welkando ', 'O.Laznovska', '', '59,0', '                   5.             ', ' Antonow ', 'F.Ladu', '', '59,0', '                   6.             ', ' Born To Be Alive (FR) ', 'S.Hofer', '', '56,5', '                   7.             ', ' Hachico (GB) ', 'I.Poullis', '', '57,5', '                   8.             ', ' Guilded Spirit (GB) ', 'E.R.Weißmeier', '', '56,0']"
