Date,Location,Distance,Prize,Category,Class,Ground_state,Horses
"<div class=""ZeitundOrt"">
               18. August 2019             </div>","<div class=""ZeitundOrt"">
              Hannover            </div>",2000 m  ,  6000 €,D,,"
                     Boden: weich                  ","['\n                   1.             ', '\n Wachmann ', 'B.Ganbat', 'S.Richter', '58,0', '\n                   2.             ', '\n Moon Power ', 'Jiri Palik', 'S.Schütz', '56,0', '\n                   3.             ', '\n Let Me Know ', 'W.Panov', 'D.Moser', '54,5', '\n                   4.             ', '\n LUtopie ', 'M.Casamento', 'S.Schütz', '54,0', '\n                   5.             ', '\n Tamsin ', 'B.Murzabayev', 'R.Dzubasz', '56,0', '\n                   6.             ', '\n Rainbow Lady (IRE) ', 'M.Pecheur', 'B.Nedorostek', '54,0', '\n                   7.             ', '\n Salamanca ', 'A.Helfenbein', 'P.Bradik', '54,0', '\n                   8.             ', '\n Actona ', 'J.L.Silverio', 'B.Nedorostek', '54,0']"
"<div class=""ZeitundOrt"">
               18. August 2019             </div>","<div class=""ZeitundOrt"">
              Hannover            </div>",1300 m  ,  8500 €,D,III,"
                     Boden: weich                  ","['\n                   1.             ', '\n Power Jack (GB) ', 'W.Panov', 'B.Nedorostek', '55,5', '\n                   2.             ', '\n Anno Mio ', 'L.M.Engels', 'D.Moser', '59,0', '\n                   3.             ', '\n Reine Des Fleurs ', 'B.Murzabayev', 'R.Dzubasz', '58,0', '\n                   4.             ', '\n Kareless (IRE) ', 'M.Pecheur', 'F.Fuhrmann', '52,5', '\n                   5.             ', '\n Dark Forrest ', 'B.Ganbat', 'J.I.Meinecke', '55,5', '\n                   6.             ', '\n Nadelwald (GB) ', 'A.de Vries', 'C.J.M.Wolters/NL', '60,0', '\n                   7.             ', '\n Contessa ', 'F.Minarik', 'H.J.Gröschel', '60,5', '\n                   8.             ', '\n Wangi Wangi ', 'Mirko Sanna', 'J.Korpas', '57,5', '\n                   9.             ', '\n Casinomaster (IRE) ', 'J.Bojko', 'F.Fuhrmann', '55,5', '\n                   10.             ', '\n Birthday Prince ', 'A.Helfenbein', 'G.Lentz', '55,0', '\n                   11.             ', '\n Voodoo ', 'C.Henrique', 'H.Kienemann', '52,5', '\n                   12.             ', '\n Boy Charlton (IRE) ', 'M.Casamento', 'F.Fuhrmann', '55,5']"
"<div class=""ZeitundOrt"">
               18. August 2019             </div>","<div class=""ZeitundOrt"">
              Hannover            </div>",1750 m  ,  22500 €,C,I,"
                     Boden: weich                  ","['\n                   1.             ', '\n Cassilero ', 'W.Panov', 'K.Demme', '53,5', '\n                   2.             ', '\n Alinaro ', 'F.Marcialis', 'H.Grewe', '61,5', '\n                   3.             ', '\n Be Sweet ', 'C.Henrique', 'H.J.Gröschel', '52,0', '\n                   4.             ', '\n Vatenko ', 'B.Murzabayev', 'R.Dzubasz', '54,5', '\n                   5.             ', '\n Mister Onyx ', 'M.Pecheur', 'W.Glanz', '53,0', '\n                   6.             ', '\n Santiano ', 'L.M.Engels', 'T.Reineke', '62,5', '\n                   7.             ', '\n Armance (FR) ', 'M.Casamento', 'S.Richter', '62,0']"
"<div class=""ZeitundOrt"">
               18. August 2019             </div>","<div class=""ZeitundOrt"">
              Hannover            </div>",2200 m  ,  25000 €,A,Liste,"
                     Boden: weich                  ","['\n                   1.             ', '\n Ladykiller ', 'B.Murzabayev', 'A.Wöhler', '54,5', '\n                   2.             ', '\n Edith ', 'J.Safar', 'R.Dzubasz', '56,5', '\n                   3.             ', '\n Weltstar ', 'M.Pecheur', 'M.Klug', '58,0', '\n                   4.             ', '\n Liberty London ', 'W.Panov', 'H.J.Gröschel', '53,0', '\n                   5.             ', '\n Wild Comet ', 'M.Casamento', 'Marco Klein', '56,5', '\n                   NS             ', '\n Secret Potion ', 'A.de Vries', 'H.Grewe', '55,0']"
"<div class=""ZeitundOrt"">
               18. August 2019             </div>","<div class=""ZeitundOrt"">
              Hannover            </div>",1900 m  ,  5350 €,E,IV,"
                     Boden: weich                  ","['\n                   1.             ', '\n Shoemaker ', 'A.de Vries', 'P.Vovcenko', '55,5', '\n                   2.             ', '\n Nomia ', 'W.Panov', 'M.Angermann', '56,5', '\n                   3.             ', '\n Little Love ', 'M.Casamento', 'U.Stech', '54,0', '\n                   4.             ', '\n Dafina ', 'B.Ganbat', 'J.I.Meinecke', '57,0', '\n                   5.             ', '\n Van Venture ', 'A.Helfenbein', 'P.Bradik', '55,5', '\n                   6.             ', '\n Ragazza (GB) ', 'C.Henrique', 'M.Lindemann', '53,0', '\n                   7.             ', '\n Imposito ', 'F.Minarik', 'H.J.Stolberg', '57,0', '\n                   8.             ', '\n Fireprincess ', 'J.Bojko', 'P.Vovcenko', '54,0', '\n                   9.             ', '\n Colorado Sun ', 'Jiri Palik', 'B.Nedorostek', '61,5', '\n                   10.             ', '\n Idolo ', 'M.Pecheur', 'H.J.Stolberg', '52,0', '\n                   11.             ', '\n Power General (IRE) ', 'C.Santangelo', 'I.Ferentschak', '59,5', '\n                   12.             ', '\n Lady Leoso ', 'R.Danz', 'H.Nienstädt', '52,0', '\n                   13.             ', '\n Kiyana ', 'B.Murzabayev', 'T.Reineke', '58,5', '\n                   14.             ', '\n Khoraya ', 'F.X.Weißmeier', 'H.Nienstädt', '59,0']"
"<div class=""ZeitundOrt"">
               18. August 2019             </div>","<div class=""ZeitundOrt"">
              Hannover            </div>",1750 m  ,  52000 €,C,,"
                     Boden: weich                  ","['\n                   1.             ', '\n Say Good Buy ', 'C.Henrique', 'H.Grewe', '60,0', '\n                   2.             ', '\n Propolia ', 'M.Pecheur', 'W.Glanz', '52,0', '\n                   3.             ', '\n König Platon ', 'W.Panov', 'J.Hirschberger', '57,0', '\n                   4.             ', '\n Alpinius ', 'B.Ganbat', 'U.Stech', '57,0', '\n                   5.             ', '\n Barbados (FR) ', 'F.Minarik', 'P.Schiergen', '58,0', '\n                   6.             ', '\n Vicente ', 'J.Safar', 'P.Vovcenko', '57,0', '\n                   7.             ', '\n Departing ', 'V.Schiergen', 'P.Schiergen', '58,0', '\n                   8.             ', '\n Miss Mae ', 'Mirko Sanna', 'H.Grewe', '58,0', '\n                   9.             ', '\n Next Soldier ', 'J.Bojko', 'Y.Almenräder', '54,0', '\n                   10.             ', '\n King ', 'A.de Vries', 'C.J.M.Wolters/NL', '60,0', '\n                   11.             ', '\n Nickos ', 'Jiri Palik', 'R.Dzubasz', '55,0', '\n                   12.             ', '\n Alaska Wolf ', 'M.Casamento', 'W.Hickst', '54,0', '\n                   13.             ', '\n Global Cloud ', 'B.Murzabayev', 'R.Dzubasz', '57,0', '\n                   14.             ', '\n Royal Lion ', 'A.Helfenbein', 'J.Hirschberger', '56,0']"
"<div class=""ZeitundOrt"">
               18. August 2019             </div>","<div class=""ZeitundOrt"">
              Hannover            </div>",1600 m  ,  6000 €,D,,"
                     Boden: weich                  ","['\n                   1.             ', '\n Jin Jin (IRE) ', 'M.Pecheur', 'B.Nedorostek', '56,0', '\n                   2.             ', '\n Louna Amica ', 'B.Ganbat', 'U.Stech', '56,0', '\n                   3.             ', '\n Voodoo Speed ', 'L.M.Engels', 'H.Kienemann', '54,0', '\n                   4.             ', '\n Polly Storm (CZE) ', 'Jiri Palik', 'J.Korpas', '58,0', '\n                   5.             ', '\n Karl ', 'J.Bojko', 'A.Glodde', '58,0', '\n                   6.             ', '\n Bella Sarah ', 'F.X.Weißmeier', 'K.Kaczmarek', '57,0', '\n                   7.             ', '\n Achzarit ', 'Mirko Sanna', 'H.Kienemann', '56,0', '\n                   8.             ', '\n Godrics Hollow ', 'A.Weis', 'B.Nedorostek', '58,0', '\n                   NS             ', '\n Lirango ', 'M.Casamento', 'E.Storp', '58,0', '\n                   NS             ', '\n Valanca ', 'B.Murzabayev', 'R.Dzubasz', '56,0']"
"<div class=""ZeitundOrt"">
               18. August 2019             </div>","<div class=""ZeitundOrt"">
              Hannover            </div>",1400 m  ,  5000 €,F,IV,"
                     Boden: weich                  ","['\n                   1.             ', '\n Circuskind (IRE) ', 'M.Pecheur', 'F.Fuhrmann', '58,0', '\n                   2.             ', '\n Turfglocke ', 'B.Ganbat', 'S.Richter', '58,0', '\n                   3.             ', '\n Ohne Tadel ', 'R.Danz', 'D.Lüker', '52,0', '\n                   4.             ', '\n Tribesman (GB) ', 'J.Beckmann', 'J.Beckmann', '53,5', '\n                   5.             ', '\n Almudis ', 'F.Minarik', 'A.Glodde', '52,0', '\n                   6.             ', '\n Danon Perth (AUS) ', 'W.Panov', 'M.Lindemann', '54,0', '\n                   7.             ', '\n Brown Beauty (IRE) ', 'M.Casamento', 'F.Fuhrmann', '60,0', '\n                   8.             ', '\n Rateel (IRE) ', 'J.Bojko', 'F.Fuhrmann', '58,0', '\n                   9.             ', '\n Dutch Academy (GB) ', 'B.Murzabayev', 'S.Winter', '61,0', '\n                   10.             ', '\n Jazz Bay (GB) ', 'U.Timmermann', 'I.Ferentschak', '61,0', '\n                   11.             ', '\n Stanley Daley (IRE) ', 'A.de Vries', 'D.Lüker', '55,5', '\n                   12.             ', '\n Awjab (IRE) ', 'A.Helfenbein', 'S.Rank', '53,5']"
"<div class=""ZeitundOrt"">
               18. August 2019             </div>","<div class=""ZeitundOrt"">
              Hannover            </div>",2400 m  ,  8000 €,D,III,"
                     Boden: weich                  ","['\n                   1.             ', '\n Mooniac ', 'B.Murzabayev', 'R.Dzubasz', '57,0', '\n                   2.             ', '\n Chesnee (IRE) ', 'Jiri Palik', 'B.Nedorostek', '56,0', '\n                   3.             ', '\n Valentino Dancer (FR) ', 'F.Minarik', 'B.Nedorostek', '52,0', '\n                   4.             ', '\n Escobar ', 'M.Casamento', 'C.Barsig', '59,5', '\n                   5.             ', '\n Purple Rose ', 'C.Henrique', 'B.Nedorostek', '52,5', '\n                   6.             ', '\n Wackere ', 'M.Pecheur', 'M.Klug', '59,5', '\n                   7.             ', '\n Palace King ', 'B.Ganbat', 'S.Richter', '57,5', '\n                   8.             ', '\n Yori (IRE) ', 'L.M.Engels', 'P.Vovcenko', '58,0']"
"<div class=""ZeitundOrt"">
               24. August 2019             </div>","<div class=""ZeitundOrt"">
              Baden-Baden            </div>",1500 m  ,  7500 €,D,,"
                     Boden: gut                  ","['\n                   1.             ', '\n A Racing Beauty ', 'L.Delozier', 'H.Grewe', '56,0', '\n                   2.             ', '\n Palimero ', 'M.Cadeddu', 'M.Hofer', '58,0', '\n                   3.             ', '\n Planteurs Whiskey (FR) ', 'Jiri Palik', 'M.Musialova', '58,0', '\n                   4.             ', '\n Sovereign State ', 'A.de Vries', 'Y.Almenräder', '58,0', '\n                   5.             ', '\n Maitani ', 'A.v.d.Troost', 'Y.Almenräder', '58,0', '\n                   6.             ', '\n Henry Golightly ', 'B.Murzabayev', 'M.Rulec', '58,0', '\n                   7.             ', '\n Prince Oliver (FR) ', 'R.Almonacid', 'M.Figge', '58,0', '\n                   8.             ', '\n Von Amaron ', 'S.Vogt', 'C.Bocskai', '58,0']"
