Date,Location,Distance,Prize,Category,Class,Ground_state,Horses
"<div class=""ZeitundOrt"">
               10. November 2017             </div>","<div class=""ZeitundOrt"">
              Dortmund (Sand)            </div>",1700 m  ,  5000 €,F,IV,"
                     Boden: nass                  ","['\n                   1.             ', '\n Pancho Villas (IRE) ', 'L.Achtermann', 'J.Beckmann', '54,0', '\n                   2.             ', '\n Ohne Tadel ', 'L.Steudle', 'D.Lüker', '52,5', '\n                   3.             ', '\n Bally Hoo ', 'S.Hellyn', 'U.Schwinn', '57,0', '\n                   4.             ', '\n Kepheus ', 'A.Gräter', 'M.Türk', '56,5', '\n                   5.             ', '\n Wrangel (IRE) ', 'C.Santangelo', 'S.Brüggemann', '54,0', '\n                   6.             ', '\n Cazador (IRE) ', 'V.Schiergen', 'H.Rudolph', '59,0', '\n                   7.             ', '\n Girandolo ', 'F.X.Weißmeier', 'R.Weißmeier', '60,0', '\n                   8.             ', '\n Rinky Dink Dawn (IRE) ', 'F.Minarik', 'S.Schleppi', '63,0', '\n                   9.             ', '\n Monets Sky (IRE) ', 'R.Piechulek', 'E.Storp', '58,0', '\n                   10.             ', '\n Jungle Drum (FR) ', 'J.Rogl', 'J.Schriever', '54,5']"
"<div class=""ZeitundOrt"">
               10. November 2017             </div>","<div class=""ZeitundOrt"">
              Dortmund (Sand)            </div>",1950 m  ,  6000 €,E,IV,"
                     Boden: nass                  ","['\n                   1.             ', '\n Ignaz ', 'T.Scardino', 'Marco Klein', '58,5', '\n                   2.             ', '\n Voladora ', 'J.L.Silverio', 'L.Wöhling', '59,0', '\n                   3.             ', '\n Platin Lover (SWI) ', 'P.Gibson', 'Marco Klein', '61,5', '\n                   4.             ', '\n Diokletian ', 'R.Weber', 'H.Grewe', '61,0', '\n                   5.             ', '\n Kleopatra Kimberly ', 'N.Sechi', 'L.W.J.v.d.Meulen/NL', '59,5', '\n                   6.             ', '\n Marientaler (IRE) ', 'B.Ganbat', 'R.Werning', '56,5', '\n                   7.             ', '\n Nightdance Prince ', 'J.Bojko', 'E.Storp', '56,5', '\n                   8.             ', '\n Rising Rock (FR) ', 'F.Minarik', 'A.Bolte', '57,5', '\n                   9.             ', '\n Piccadilly (SWI) ', 'S.Hellyn', 'H.A.Peeters/NL', '58,0', '\n                   10.             ', '\n Russian Khan ', 'S.Vogt', 'R.Storp', '53,5', '\n                   11.             ', '\n Canton Delight (FR) ', 'F.X.Weißmeier', 'C.v.d.Recke', '57,5', '\n                   12.             ', '\n Dancing Rocky (AUT) ', 'M.Pecheur', 'S.Smrczek', '53,5', '\n                   13.             ', '\n Dornröschen ', 'L.Delozier', 'S.Smrczek', '57,5', '\n                   14.             ', '\n Fair Friend ', 'R.Piechulek', 'A.Bolte', '58,0']"
"<div class=""ZeitundOrt"">
               10. November 2017             </div>","<div class=""ZeitundOrt"">
              Dortmund (Sand)            </div>",2500 m  ,  5000 €,F,IV,"
                     Boden: nass                  ","['\n                   1.             ', '\n Bailarina ', 'R.Weber', 'A.Suborics', '60,5', '\n                   2.             ', '\n Allez Y ', 'B.Ganbat', 'U.Schwinn', '60,5', '\n                   3.             ', '\n Wells Wonder ', 'F.Marcialis', 'E.Storp', '57,0', '\n                   4.             ', '\n Tapering (USA) ', 'S.Hellyn', 'M.Schu', '54,0', '\n                   5.             ', '\n Weltwunder ', 'N.Sechi', 'L.W.J.v.d.Meulen/NL', '63,5', '\n                   6.             ', '\n Caipi Red (FR) ', 'O.Laznovska', 'O.Laznovska', '56,5', '\n                   7.             ', '\n Olkaria ', 'F.Minarik', 'H.Rudolph', '58,0', '\n                   8.             ', '\n Culworth Boy (IRE) ', 'J.L.Silverio', 'A.Bodenhagen', '55,5', '\n                   9.             ', '\n Koschawa ', 'R.Piechulek', 'A.Bolte', '57,5', '\n                   10.             ', '\n Winaldo (HUN) ', 'M.Cadeddu', 'F.Gerstner', '58,5', '\n                   11.             ', '\n Quantum Of Solace ', 'C.Santangelo', 'A.Bodenhagen', '54,0']"
"<div class=""ZeitundOrt"">
               10. November 2017             </div>","<div class=""ZeitundOrt"">
              Dortmund (Sand)            </div>",2500 m  ,  5000 €,F,IV,"
                     Boden: nass                  ","['\n                   1.             ', '\n Bayswater ', 'R.Bonk', 'J.Schriever', '63,0', '\n                   2.             ', '\n Koonari (FR) ', 'J.Beckmann', 'J.Beckmann', '56,0', '\n                   3.             ', '\n Leo Fantastico ', 'S.Daroszewski', 'P.Gehm', '64,5', '\n                   4.             ', '\n Luan ', 'M.Cadeddu', 'U.Schwinn', '54,0', '\n                   5.             ', '\n Art Charter (FR) ', 'T.Scardino', 'A.Bodenhagen', '57,0', '\n                   6.             ', '\n Fritz ', 'R.Danz', 'M.Angermann', '55,5', '\n                   7.             ', '\n Glamour Girl ', 'M.Pecheur', 'R.Storp', '54,0', '\n                   8.             ', '\n Mediane (IRE) ', 'P.Gibson', 'N.Schneider', '62,0', '\n                   9.             ', '\n Mathilda ', 'N.Sechi', 'R.Krapp', '55,0']"
"<div class=""ZeitundOrt"">
               10. November 2017             </div>","<div class=""ZeitundOrt"">
              Dortmund (Sand)            </div>",1200 m  ,  6200 €,E,IV,"
                     Boden: nass                  ","['\n                   1.             ', '\n Romantic Angel (USA) ', 'F.X.Weißmeier', 'M.W.Falk', '58,5', '\n                   2.             ', '\n Decadent Times (IRE) ', 'R.Danz', 'B.Sofsky-Prappacher', '52,0', '\n                   3.             ', '\n Life Of Fame (GB) ', 'R.Piechulek', 'I.Kreger', '55,5', '\n                   4.             ', '\n Prefect (GB) ', 'T.Scardino', 'A.Bodenhagen', '58,0', '\n                   5.             ', '\n Sameer (IRE) ', 'M.Pecheur', 'M.Angermann', '58,5', '\n                   6.             ', '\n Goldie Doll (HOL) ', 'M.Cadeddu', 'T.v.d.Troost', '55,0', '\n                   7.             ', '\n Pagina De Mi Vida ', 'J.Bojko', 'L.W.J.v.d.Meulen/NL', '57,0', '\n                   8.             ', '\n Nandolo ', 'G.C.P.Snijders', 'B.Hermans/NL', '55,5', '\n                   9.             ', '\n Ivors Fantasy (IRE) ', 'S.Vogt', 'R.Weißmeier', '54,0', '\n                   10.             ', '\n Pancake Day (GB) ', 'S.Hellyn', 'P.Berg', '59,5', '\n                   11.             ', '\n Tracking (GB) ', 'B.Ganbat', 'A.Mulder', '56,0', '\n                   12.             ', '\n Faintly (USA) ', 'L.Steudle', 'D.Lüker', '59,0', '\n                   13.             ', '\n Summer Princess ', 'F.Minarik', 'J.Warren', '53,0', '\n                   14.             ', '\n Trento (FR) ', 'A.Alshowaikh', 'H.Sauer', '59,5']"
"<div class=""ZeitundOrt"">
               10. November 2017             </div>","<div class=""ZeitundOrt"">
              Dortmund (Sand)            </div>",1800 m  ,  7000 €,D,III,"
                     Boden: nass                  ","['\n                   1.             ', '\n Rock Academy ', 'S.Hellyn', 'P.Berg', '61,0', '\n                   2.             ', '\n Munaashid (USA) ', 'M.Cadeddu', 'M.F.Weißmeier', '58,0', '\n                   3.             ', '\n Kitaneso (GB) ', 'N.Sechi', 'Marco Klein', '61,0', '\n                   4.             ', '\n Twain ', 'V.Schiergen', 'E.Mäder', '59,0', '\n                   5.             ', '\n König Arte ', 'H.Mouchova', 'B.Bieß', '52,0', '\n                   6.             ', '\n Highly Favoured (IRE) ', 'R.Piechulek', 'E.Storp', '57,5', '\n                   7.             ', '\n Nareia ', 'S.Vogt', 'J.Warren', '55,0', '\n                   8.             ', '\n Los Campanos ', 'B.Ganbat', 'A.Bolte', '55,0', '\n                   9.             ', '\n Langaro (AUT) ', 'F.Minarik', 'A.Bolte', '53,5', '\n                   10.             ', '\n Beetle Star ', 'M.Pecheur', 'P.Gehm', '56,0', '\n                   11.             ', '\n Haarib (GB) ', 'J.Bojko', 'L.W.J.v.d.Meulen/NL', '56,0', '\n                   12.             ', '\n Wonderwall (FR) ', 'T.Scardino', 'Marco Klein', '56,0']"
"<div class=""ZeitundOrt"">
               10. November 2017             </div>","<div class=""ZeitundOrt"">
              Dortmund (Sand)            </div>",1200 m  ,  7000 €,D,III,"
                     Boden: nass                  ","['\n                   1.             ', '\n Darrell Rivers (GB) ', 'R.Weber', 'H.Grewe', '59,5', '\n                   2.             ', '\n Areia ', 'A.Alshowaikh', 'A.Suborics', '61,5', '\n                   3.             ', '\n Jazz Bay (GB) ', 'M.Pecheur', 'I.Ferentschak', '52,0', '\n                   4.             ', '\n Rainmaker (FR) ', 'S.Hellyn', 'R.Rohne', '59,0', '\n                   5.             ', '\n Ruby Red ', 'B.Ganbat', 'M.A.Gasmi', '56,0', '\n                   6.             ', '\n Cheviot (USA) ', 'N.Sechi', 'J.D.Hillis', '58,5', '\n                   7.             ', '\n Connected (FR) ', 'V.Schiergen', 'C.Barsig', '61,5', '\n                   8.             ', '\n Dragoslav (GB) ', 'S.Vogt', 'W.Schütz', '58,0', '\n                   9.             ', '\n Sir Theodore (IRE) ', 'J.Bojko', 'S.Richter', '56,0']"
"<div class=""ZeitundOrt"">
               21. November 2017             </div>","<div class=""ZeitundOrt"">
              Neuss (Sand)            </div>",1100 m  ,  5000 €,F,IV,"
                     Boden: nass                  ","['\n                   1.             ', '\n Decadent Times (IRE) ', 'R.Piechulek', 'B.Sofsky-Prappacher', '58,0', '\n                   2.             ', '\n Betsy Coed (IRE) ', 'E.Herresthal', 'M.Schwinn', '59,5', '\n                   3.             ', '\n Voices Of Kings (GB) ', 'S.Hellyn', 'S.Ehl', '54,0', '\n                   4.             ', '\n Iggy (GB) ', 'J.Beckmann', 'J.Beckmann', '59,5', '\n                   5.             ', '\n Salinas Road (FR) ', 'F.Minarik', 'G.Mayer', '57,5', '\n                   6.             ', '\n Wilsons Ruby (IRE) ', 'N.Wagner', 'V.Bracke/BEL', '55,0', '\n                   7.             ', '\n Hippocrene (IRE) ', 'R.Weber', 'M.Schu', '59,5', '\n                   8.             ', '\n Silencio ', 'E.R.Weißmeier', 'O.Laznovska', '59,5', '\n                   9.             ', '\n Pagina De Mi Vida ', 'L.M.Engels', 'L.W.J.v.d.Meulen/NL', '58,5', '\n                   10.             ', '\n Tindorette (GB) ', 'B.Ganbat', 'G.Lentz', '55,0', '\n                   11.             ', '\n Eland Ally (GB) ', 'M.Pecheur', 'J.Oost', '57,0', '\n                   12.             ', '\n Malvia (GB) ', 'C.Santangelo', 'F.Gerstner', '55,0', '\n                   13.             ', '\n Control Chief (GB) ', 'A.Helfenbein', 'S.Schöndorf', '54,0']"
"<div class=""ZeitundOrt"">
               21. November 2017             </div>","<div class=""ZeitundOrt"">
              Neuss (Sand)            </div>",1500 m  ,  6000 €,E,IV,"
                     Boden: nass                  ","['\n                   1.             ', '\n Born To Be Alive (FR) ', 'C.Santangelo', 'F.Gerstner', '54,5', '\n                   2.             ', '\n Dieu Merci ', 'F.Minarik', 'R.Schaaf', '54,0', '\n                   3.             ', '\n Magic Quercus (FR) ', 'L.M.Engels', 'G.Mayer', '56,0', '\n                   4.             ', '\n Princess Peaches (GB) ', 'E.Herresthal', 'S.Schön', '55,5', '\n                   5.             ', '\n Salimera ', 'E.R.Weißmeier', 'K.Gernreich', '52,0', '\n                   6.             ', '\n Tribesman (GB) ', 'J.Beckmann', 'J.Beckmann', '51,5', '\n                   7.             ', '\n Diokletian ', 'R.Weber', 'H.Grewe', '60,5', '\n                   8.             ', '\n Kerecsen (HUN) ', 'N.Wagner', 'M.Schu', '62,5', '\n                   9.             ', '\n Al Malek (FR) ', 'S.Vogt', 'C.Schleppi', '60,0', '\n                   10.             ', '\n Sir Leopold ', 'A.Helfenbein', 'I.Ferentschak', '61,0', '\n                   11.             ', '\n Hokulaya (FR) ', 'E.Yavuz', 'E.Storp', '54,5', '\n                   12.             ', '\n Belus ', 'M.Pecheur', 'G.Mayer', '53,0', '\n                   13.             ', '\n Krainhagen ', 'J.Bojko', 'R.Fries-Jung', '54,0']"
"<div class=""ZeitundOrt"">
               21. November 2017             </div>","<div class=""ZeitundOrt"">
              Neuss (Sand)            </div>",1500 m  ,  4000 €,E,,"
                     Boden: nass                  ","['\n                   1.             ', '\n Rich Roofer ', 'J.Bojko', 'A.Kleinkorres', '57,0', '\n                   2.             ', '\n Power Star ', 'A.Helfenbein', 'S.Smrczek', '57,0', '\n                   3.             ', '\n Simineh ', 'T.Scardino', 'Marco Klein', '55,0', '\n                   4.             ', '\n Sakima ', 'S.Hellyn', 'A.Kleinkorres', '57,0', '\n                   5.             ', '\n Texas Scramble (GB) ', 'L.M.Engels', 'I.Kreger', '54,0', '\n                   6.             ', '\n Borntobealive ', 'R.Piechulek', 'V.Henkenjohann', '57,0', '\n                   7.             ', '\n Gentle Jaime (IRE) ', 'E.R.Weißmeier', 'T.v.d.Troost', '58,0', '\n                   8.             ', '\n Wasseem (IRE) ', 'F.Minarik', 'L.W.J.v.d.Meulen/NL', '57,0', '\n                   9.             ', '\n Mississippi ', 'E.Yavuz', 'R.Heimburger', '55,0', '\n                   10.             ', '\n Part Two (DEN) ', 'C.Santangelo', 'E.Frank', '55,0', '\n                   11.             ', '\n Wink And Win (IRE) ', 'S.Vogt', 'J.Donate', '54,0', '\n                   12.             ', '\n Hurricane Harry (GB) ', 'B.Ganbat', 'S.Ehl', '57,0', '\n                   13.             ', '\n Angelic Demon (IRE) ', 'M.Pecheur', 'F.Fuhrmann', '55,0', '\n                   14.             ', '\n Burma King (IRE) ', 'V.Schiergen', 'O.Laznovska', '57,0']"
