Date,Location,Distance,Prize,Category,Class,Ground_state,Horses
"<div class=""ZeitundOrt"">
               21. September 2014             </div>","<div class=""ZeitundOrt"">
              Hannover            </div>",2200 m  ,  0 €,,,"
                     Boden: g-w                  ","['\n                   1.             ', '\n Tenero ', 'G.Brouder', '', '54,5', '\n                   2.             ', '\n Réjouissance ', 'L.Delozier', '', '55,0', '\n                   3.             ', '\n Puna ', 'C.Jenner', '', '54,5', '\n                   4.             ', '\n La Janina ', 'F.Marcialis', '', '62,5', '\n                   5.             ', '\n Lantino ', 'T.Scardino', '', '57,5', '\n                   6.             ', '\n Arte Sacra ', 'P.Donovan', '', '62,0', '\n                   7.             ', '\n Rudina ', 'C.Murray', '', '54,0', '\n                   8.             ', '\n Labon ', 'A.Dias', '', '54,0', '\n                   9.             ', '\n Majestic ', 'F.Ladu', '', '56,0', '\n                   10.             ', '\n Alanco ', 'L.Leadbitter', '', '54,0', '\n                   11.             ', '\n Santa Ponsa ', 'J.Vaughan', '', '54,0']"
"<div class=""ZeitundOrt"">
               21. September 2014             </div>","<div class=""ZeitundOrt"">
              Hannover            </div>",1900 m  ,  0 €,,,"
                     Boden: g-w                  ","['\n                   1.             ', '\n Abraxa ', 'J.Auge', '', '54,5', '\n                   2.             ', '\n New World ', 'J.Mitchell', '', '54,5', '\n                   3.             ', '\n Emily Of Tinsdal ', 'W.Panov', '', '58,5', '\n                   4.             ', '\n Paris Rose ', 'J.Bojko', '', '57,0', '\n                   5.             ', '\n Good Donna ', 'M.Cadeddu', '', '54,5', '\n                   6.             ', '\n Elora Princess ', 'M.Seidl', '', '54,5', '\n                   7.             ', '\n Sarinda ', 'A.Crastus', '', '56,0', '\n                   8.             ', '\n Vallecupa ', 'B.Ganbat', '', '56,0', '\n                   9.             ', '\n Night Power ', 'G.Pardon', '', '57,0', '\n                   10.             ', '\n Si Luna ', 'H.Mouchova', '', '57,0', '\n                   11.             ', '\n Global Wand ', 'F.Minarik', '', '54,5']"
"<div class=""ZeitundOrt"">
               21. September 2014             </div>","<div class=""ZeitundOrt"">
              Hannover            </div>",1600 m  ,  0 €,,,"
                     Boden: g-w                  ","['\n                   1.             ', '\n Chesturo ', 'J.Bojko', '', '56,0', '\n                   2.             ', '\n Sugar Love ', 'D.Schiergen', '', '59,0', '\n                   3.             ', '\n La Louz ', 'B.Ganbat', '', '57,0', '\n                   4.             ', '\n Lady Lovelace ', 'E.R.Weißmeier', '', '51,0', '\n                   5.             ', '\n Super Electra ', 'G.Pardon', '', '59,0', '\n                   6.             ', '\n Precious Promise ', 'W.Panov', '', '59,0', '\n                   7.             ', '\n Wikonda ', 'A.Weis', '', '57,0', '\n                   8.             ', '\n Tshirina ', 'N.Sechi', '', '53,0']"
"<div class=""ZeitundOrt"">
               21. September 2014             </div>","<div class=""ZeitundOrt"">
              Hannover            </div>",2400 m  ,  0 €,,,"
                     Boden: g-w                  ","['\n                   1.             ', '\n Echo Mountain ', 'F.Minarik', '', '53,0', '\n                   2.             ', '\n Charmony ', 'M.Seidl', '', '59,0', '\n                   3.             ', '\n Glam Rock ', 'V.Schiergen', '', '53,5', '\n                   4.             ', '\n Wells Wonder ', 'P.Gibson', '', '57,5', '\n                   5.             ', '\n Merci Cherie ', 'A.Crastus', '', '57,5', '\n                   6.             ', '\n Severin ', 'B.Ganbat', '', '59,5', '\n                   7.             ', '\n Fibonacci ', 'J.Mitchell', '', '59,5', '\n                   8.             ', '\n Neapel ', 'M.Guilbert', '', '55,0']"
"<div class=""ZeitundOrt"">
               23. September 2014             </div>","<div class=""ZeitundOrt"">
              Mons             </div>",1500 m  ,  0 €,,,"
                     Boden: Sand                  ","['\n                   1.             ', '\n Forester (IRE) ', 'V.Debruyne', '', '55,0', '\n                   2.             ', '\n Finaz ', 'G.Braem', '', '58,0', '\n                   3.             ', '\n Three Crowns ', 'J.Pietrasiewicz', '', '57,5', '\n                   4.             ', '\n Smoky Cloud ', 'T.v.d.Troost', '', '58,0', '\n                   5.             ', '\n Rio Bravo ', 'J.Swinnens', '', '57,5', '\n                   6.             ', '\n Hecton Lad ', 'C.Dehens', '', '58,0', '\n                   7.             ', '\n Viennoise ', 'S.Chuette', '', '54,5', '\n                   8.             ', '\n Multifact ', 'D.Porcu', '', '56,0', '\n                   9.             ', '\n Kinout (IRE) ', 'E.Frank', '', '60,0', '\n                   10.             ', '\n Adonis ', 'K.Clijmans', '', '56,0', '\n                   11.             ', '\n Compton Way ', 'J.Heitz', '', '57,0', '\n                   12.             ', '\n Cadologis ', 'Z.Velde', '', '55,0', '\n                   13.             ', '\n Le Bandit ', 'N.Jeanpierre', '', '56,0']"
"<div class=""ZeitundOrt"">
               23. September 2014             </div>","<div class=""ZeitundOrt"">
              Mons             </div>",1500 m  ,  0 €,,,"
                     Boden: Sand                  ","['\n                   1.             ', '\n Tuckers Law ', 'S.Hellyn', '', '58,0', '\n                   2.             ', '\n Ferro Sensation ', 'E.Pedroza', '', '56,0', '\n                   3.             ', '\n Sir Bruno (FR) ', 'C.Dehens', '', '60,0', '\n                   4.             ', '\n Tricky Tiger (AUT) ', 'F.Minarik', '', '59,0', '\n                   5.             ', '\n Kabyrza ', 'A.Deau', '', '56,5', '\n                   6.             ', '\n Storma Norma ', 'A. Van de Velde', '', '56,5', '\n                   7.             ', '\n Our Three Graces ', 'M.Vancamelbeke', '', '57,5', '\n                   8.             ', '\n Athos ', 'K.Clijmans', '', '56,0', '\n                   9.             ', '\n Rudolf Valentino ', 'T.v.d.Troost', '', '56,0', '\n                   10.             ', '\n Campitello ', 'J.Bojko', '', '57,0', '\n                   11.             ', '\n Florenz ', 'N.Jeanpierre', '', '58,0', '\n                   12.             ', '\n Frederico ', 'J.Heitz', '', '56,0']"
"<div class=""ZeitundOrt"">
               23. September 2014             </div>","<div class=""ZeitundOrt"">
              Mons             </div>",950 m  ,  0 €,,,"
                     Boden: Sand                  ","['\n                   1.             ', '\n Better Value (IRE) ', 'C.Dehens', '', '60,0', '\n                   2.             ', '\n The Art Of Racing ', 'F.X.Weißmeier', '', '68,0', '\n                   3.             ', '\n Russian Bullet ', 'G.Braem', '', '57,5', '\n                   4.             ', '\n Lisselton Cross (GB) ', 'T.v.d.Troost', '', '60,0', '\n                   5.             ', '\n Diamond Johnny G ', 'E.Pedroza', '', '63,0', '\n                   6.             ', '\n Hidden Destiny (GB) ', 'J.Pietrasiewicz', '', '62,0', '\n                   7.             ', '\n So Well ', 'S.Gillet', '', '55,0', '\n                   8.             ', '\n Mex (BEL) ', 'A.v.d.Troost', '', '53,0', '\n                   9.             ', '\n Coalburn (GB) ', 'D.Porcu', '', '58,5', '\n                   10.             ', '\n Snow Wide ', 'S.Hellyn', '', '60,0', '\n                   11.             ', '\n Avalon Bay ', 'J.Heitz', '', '55,0', '\n                   12.             ', '\n Serevi ', 'K.Donkor', '', '55,0', '\n                   13.             ', '\n Zoro ', 'K.Clijmans', '', '56,5', '\n                   14.             ', '\n Papi Fernand ', 'M.Swinnens', '', '53,0']"
"<div class=""ZeitundOrt"">
               23. September 2014             </div>","<div class=""ZeitundOrt"">
              Mons             </div>",2300 m  ,  0 €,,,"
                     Boden: Sand                  ","['\n                   1.             ', '\n Parigino (FR) ', 'S.Hellyn', '', '62,0', '\n                   2.             ', '\n Paris Phil ', 'A.Bertiaux', '', '59,0', '\n                   3.             ', '\n Murakami ', 'S.Francois', '', '61,0', '\n                   4.             ', '\n Initiator ', 'D.Porcu', '', '60,0', '\n                   5.             ', '\n Barneys Niece ', 'V.Debruyne', '', '52,0', '\n                   6.             ', '\n Pedregalejo ', 'F.Minarik', '', '58,5', '\n                   7.             ', '\n Zinaida ', 'J.Pietrasiewicz', '', '61,0', '\n                   8.             ', '\n Makin ', 'J.Heitz', '', '54,0', '\n                   9.             ', '\n Lucky Buck ', 'A.v.d.Troost', '', '52,0', '\n                   10.             ', '\n Lezar ', 'N.Jeanpierre', '', '59,5', '\n                   11.             ', '\n Third Half ', 'T.v.d.Troost', '', '61,5']"
"<div class=""ZeitundOrt"">
               23. September 2014             </div>","<div class=""ZeitundOrt"">
              Mons             </div>",2300 m  ,  0 €,,,"
                     Boden: Sand                  ","['\n                   1.             ', '\n Msola ', 'A.Deau', '', '60,5', '\n                   2.             ', '\n Empress Sissi ', 'D.Porcu', '', '60,5', '\n                   3.             ', '\n Jee Pee De Belgiek ', 'Z.Velde', '', '58,5', '\n                   4.             ', '\n Tae Kwon Do ', 'S.Francois', '', '60,5', '\n                   5.             ', '\n Anthology ', 'M.Swinnens', '', '58,5', '\n                   6.             ', '\n Glens Volt ', 'T.v.d.Troost', '', '61,5', '\n                   7.             ', '\n Zeus ', 'S.Hellyn', '', '62,0', '\n                   8.             ', '\n Amoretti ', 'C.Dehens', '', '60,5', '\n                   9.             ', '\n Last Baie ', 'A.v.d.Troost', '', '58,5', '\n                   10.             ', '\n Holzer ', 'J.Heitz', '', '62,0']"
"<div class=""ZeitundOrt"">
               23. September 2014             </div>","<div class=""ZeitundOrt"">
              Mons             </div>",2850 m  ,  0 €,,,"
                     Boden: Sand                  ","['\n                   1.             ', '\n Boshoevenscarlet ', 'T.v.d.Troost', '', '56,5', '\n                   2.             ', '\n Kimbar ', 'J.Bojko', '', '59,0', '\n                   3.             ', '\n Spark ', 'S.Francois', '', '59,0', '\n                   4.             ', '\n Quezon ', 'F.Minarik', '', '54,5', '\n                   5.             ', '\n Chilbury Hill ', 'K.Clijmans', '', '59,0', '\n                   6.             ', '\n Lord Singer (FR) ', 'M.Vancamelbeke', '', '57,5', '\n                   7.             ', '\n Bellarte ', 'B. De Koninck', '', '56,5', '\n                   8.             ', '\n Cavité Zeta ', 'S.Hellyn', '', '56,0']"
