Place,Horse_name,Jockey_name,Trainer_name,Weight,Distance,Prize,Ground_state
6,damour,seidl,,58.0,1600,25000,weich
7,niyama,jones,,58.0,1600,25000,weich
8,icing is her name,pardon,,55.0,1600,25000,weich
9,maha kumari,frank,,58.0,1600,25000,weich
10,majestic hope,panov,,57.0,1600,25000,weich
11,marsh hawk,oneill,,58.0,1600,25000,weich
1,victordina,porcu,,57.0,2200,10000,weich
2,fresh skyline,clijmans,,60.0,2200,10000,weich
3,home please,bojko,,52.0,2200,10000,weich
4,amadea,scardino,,55.0,2200,10000,weich
5,red pepper,seidl,,58.0,2200,10000,weich
6,guardian angel,weißmeier,,50.0,2200,10000,weich
7,butler,müller,,49.5,2200,10000,weich
1,quezon king,bojko,,57.0,2100,4000,weich
2,cheruska,seidl,,55.0,2100,4000,weich
3,balu (gb),ferguson,,58.0,2100,4000,weich
4,time to hope,clijmans,,55.5,2100,4000,weich
5,quintessenz,panov,,55.0,2100,4000,weich
6,key,schiergen,,57.5,2100,4000,weich
7,boston park (ire),pietsch,,57.0,2100,4000,weich
8,pamina,schiergen,,55.0,2100,4000,weich
9,opportune doroux (fr),ganbat,,55.0,2100,4000,weich
10,are you ready,porcu,,57.0,2100,4000,weich
1,western queen,pietsch,,58.0,1600,4500,weich
2,floralys (usa),werning,,55.5,1600,4500,weich
3,dagostino,weber,,60.5,1600,4500,weich
4,pascani,weis,,59.5,1600,4500,weich
5,look out,seidl,,57.0,1600,4500,weich
6,smoky cloud,müller,,59.5,1600,4500,weich
7,compact street,scardino,,59.0,1600,4500,weich
8,arlington,bojko,,57.5,1600,4500,weich
9,kimara,schiergen,,54.0,1600,4500,weich
10,saola,frank,,54.5,1600,4500,weich
1,summer paradise (fr),cadeddu,,57.0,2150,5100,weich
2,strato,de vries,,57.0,2150,5100,weich
3,le tiger still,minarik,,58.0,2150,5100,weich
4,ausblick (ire),helfenbein,,58.0,2150,5100,weich
5,saving grace,hellyn,,55.0,2150,5100,weich
6,tot ou tard,piechulek,,55.0,2150,5100,weich
7,evario,best,,57.5,2150,5100,weich
1,märchenprinz,minarik,,61.0,2150,5500,weich
2,huan (pol),richter,,60.0,2150,5500,weich
3,juan,hellyn,,60.5,2150,5500,weich
4,avio,piechulek,,54.0,2150,5500,weich
5,alexandre,cadeddu,,58.5,2150,5500,weich
6,matreas,mouchova,,58.5,2150,5500,weich
7,bayonero,best,,60.0,2150,5500,weich
8,bubble tee,vilmar,,51.0,2150,5500,weich
9,blue ivana (ire),mattes,,61.5,2150,5500,weich
1,myrtille (ire),de vries,,61.0,1600,4350,weich
2,touch of pri (hun),hellyn,,55.0,1600,4350,weich
3,lucy bee (gb),cadeddu,,53.0,1600,4350,weich
4,tweet lady (gb),danz,,60.0,1600,4350,weich
5,küheylah asil,steudle,,60.5,1600,4350,weich
6,little man,weißmeier,,59.0,1600,4350,weich
7,notaio,mouchova,,58.0,1600,4350,weich
8,fushun (aut),best,,53.0,1600,4350,weich
9,beltaine fire,vilmar,,54.0,1600,4350,weich
10,great pearl,piechulek,,56.5,1600,4350,weich
11,champions time,richter,,52.0,1600,4350,weich
12,montesita,helfenbein,,54.5,1600,4350,weich
1,holy moly,pedroza,,58.0,1600,8750,weich
2,rock my world,hellyn,,58.0,1600,8750,weich
3,gouache,minarik,,58.0,1600,8750,weich
4,chantilly,de vries,,58.0,1600,8750,weich
5,sorella,helfenbein,,58.0,1600,8750,weich
6,elea,vilmar,,57.0,1600,8750,weich
7,limona,cadeddu,,58.0,1600,8750,weich
8,tabaluga,piechulek,,58.0,1600,8750,weich
1,potemkin,pedroza,,59.0,1600,10000,weich
2,cassilero,minarik,,59.0,1600,10000,weich
3,marju prince,hellyn,,54.5,1600,10000,weich
4,saturday,lopez,,60.5,1600,10000,weich
5,foolproof,de vries,,59.0,1600,10000,weich
6,josefine,piechulek,,55.0,1600,10000,weich
7,bavarian beauty,helfenbein,,55.0,1600,10000,weich
8,flora,mouchova,,56.0,1600,10000,weich
1,shadow sadness,piechulek,,58.0,2000,55000,weich
2,areo,minarik,,58.0,2000,55000,weich
3,fair mountain,pedroza,,58.0,2000,55000,weich
4,space cowboy,de vries,,58.0,2000,55000,weich
5,rogue runner,murphy,,58.0,2000,55000,weich
6,agosteo,helfenbein,,58.0,2000,55000,weich
7,mohadjer,hellyn,,58.0,2000,55000,weich
8,molly le clou,cadeddu,,58.0,2000,55000,weich
1,techno queen (ire),richter,,52.0,2000,10000,weich
2,liebesbrief,de vries,,57.0,2000,10000,weich
3,wadeshda,helfenbein,,54.0,2000,10000,weich
4,königsadler,piechulek,,57.0,2000,10000,weich
5,nordsommer,best,,56.0,2000,10000,weich
6,captain dino,cadeddu,,60.0,2000,10000,weich
7,proud citizen,mouchova,,60.0,2000,10000,weich
1,lausanne,piechulek,,56.5,1600,4000,weich
2,worlds dream,hellyn,,56.0,1600,4000,weich
3,swinging hill,minarik,,57.5,1600,4000,weich
4,salimera,de vries,,56.5,1600,4000,weich
5,silvana,steudle,,51.0,1600,4000,weich
6,acappello,mattes,,56.5,1600,4000,weich
1,pavana,seidl,,54.0,1400,6000,gut
2,song of gold (fr),danz,,58.0,1400,6000,gut
3,ocario,lopez,,54.0,1400,6000,gut
4,powerplay,minarik,,56.0,1400,6000,gut
5,shinnaui,de vries,,57.5,1400,6000,gut
6,lairy (ire),hellyn,,60.0,1400,6000,gut
7,noreia,scardino,,56.0,1400,6000,gut
8,königstein,piechulek,,54.0,1400,6000,gut
9,saalegold,ferguson,,59.0,1400,6000,gut
10,genuine art,bojko,,54.0,1400,6000,gut
11,silver songstress,weißmeier,,52.5,1400,6000,gut
12,dashings diamond,frank,,54.5,1400,6000,gut
13,gold dragon,pecheur,,58.0,1400,6000,gut
1,silicon valley,ferguson,,55.0,1400,6000,gut
2,daring art,cadeddu,,55.0,1400,6000,gut
3,hong kong phooey (ire),de vries,,57.0,1400,6000,gut
4,magic moments,pedroza,,56.0,1400,6000,gut
5,andiamo,panov,,57.5,1400,6000,gut
6,alderaan (ire),pecheur,,56.0,1400,6000,gut
7,all win (ire),seidl,,58.0,1400,6000,gut
8,beacon cove,bojko,,55.0,1400,6000,gut
9,task force,minarik,,57.0,1400,6000,gut
10,chester bound,weißmeier,,51.0,1400,6000,gut
1,victorious,pietsch,,57.5,1600,8000,gut
2,zephyros,cadeddu,,56.0,1600,8000,gut
3,naval,seidl,,54.5,1600,8000,gut
4,simplon (gb),minarik,,54.0,1600,8000,gut
5,hannover indian,piechulek,,54.0,1600,8000,gut
6,ocean tiger,porcu,,59.5,1600,8000,gut
7,cabanello (ire),pedroza,,57.5,1600,8000,gut
8,semai,hellyn,,59.0,1600,8000,gut
9,spicy,schiergen,,58.0,1600,8000,gut
10,see dex,de vries,,58.5,1600,8000,gut
11,la facella,ferguson,,58.0,1600,8000,gut
12,amparo,bojko,,57.0,1600,8000,gut
13,giant step,hofer,,57.5,1600,8000,gut
14,esprit des temps,weber,,60.0,1600,8000,gut
1,dashing diva,bojko,,56.0,1600,5000,gut
2,honora directa,hellyn,,55.5,1600,5000,gut
3,life style,de vries,,57.0,1600,5000,gut
4,prince paul,frank,,58.0,1600,5000,gut
5,orotouch (fr),pietsch,,57.5,1600,5000,gut
6,seven of nine,ganbat,,55.0,1600,5000,gut
7,la commune (ire),lopez,,55.0,1600,5000,gut
8,hedda,porcu,,55.0,1600,5000,gut
9,hosara,hofer,,55.0,1600,5000,gut
10,luisio,piechulek,,57.0,1600,5000,gut
11,ayaka,danz,,54.0,1600,5000,gut
12,polska viktoria,cadeddu,,55.0,1600,5000,gut
1,van victory,frank,,54.5,2100,6000,gut
2,abbanandi,minarik,,55.0,2100,6000,gut
3,pleasantpathfinder (gb),porcu,,57.0,2100,6000,gut
4,sokol,de vries,,58.0,2100,6000,gut
5,biederich (h),hofer,,54.5,2100,6000,gut
6,chindeni (gb),hellyn,,56.0,2100,6000,gut
7,zubaida,ferguson,,61.0,2100,6000,gut
8,amadela,schurig,,55.0,2100,6000,gut
9,sharingan,pedroza,,59.5,2100,6000,gut
10,tremendous,schiergen,,57.0,2100,6000,gut
11,its my sunshine,bojko,,55.5,2100,6000,gut
12,bella valentina,troost,,56.0,2100,6000,gut
1,kiowa,scardino,,59.0,2600,6000,gut
2,adel verpflichtet,frank,,54.5,2600,6000,gut
3,a mighty heart,bojko,,61.5,2600,6000,gut
4,tivoli,werning,,61.0,2600,6000,gut
5,winnipeg,piechulek,,54.0,2600,6000,gut
6,pearl of england,weißmeier,,59.5,2600,6000,gut
7,puna,porcu,,54.0,2600,6000,gut
8,quezon,pietsch,,56.0,2600,6000,gut
9,gelona (h),pecheur,,54.0,2600,6000,gut
10,dorick (h),seidl,,54.0,2600,6000,gut
1,universal star,mitchell,,58.0,1500,5100,gut
2,wild blossom,panov,,56.0,1500,5100,gut
3,königin cala,piechulek,,55.0,1500,5100,gut
4,tilara,best,,55.0,1500,5100,gut
5,luzzie,danz,,54.0,1500,5100,gut
6,pesaro,hofer,,57.0,1500,5100,gut
1,quatros (cze),danz,,57.0,1500,3200,gut
2,deste,piechulek,,57.0,1500,3200,gut
3,youm momayez (gb),hofer,,57.0,1500,3200,gut
4,werra,mitchell,,57.0,1500,3200,gut
5,red runner,best,,58.0,1500,3200,gut
6,phaleandoro,gibson,,58.0,1500,3200,gut
7,pinot,schurig,,55.0,1500,3200,gut
1,mister micky,panov,,61.0,1500,3400,gut
2,dalmore,best,,55.0,1500,3400,gut
3,la luneta,mitchell,,57.5,1500,3400,gut
4,mystical wind (ire),guanti,,60.0,1500,3400,gut
5,southern dancer,schurig,,61.5,1500,3400,gut
6,flying prince,danz,,51.0,1500,3400,gut
7,gonscharga,hofer,,53.0,1500,3400,gut
8,desert flower,juracek,,60.0,1500,3400,gut
9,new fortuna,piechulek,,59.0,1500,3400,gut
10,great pearl,moffatt,,55.5,1500,3400,gut
11,emma,vilmar,,51.0,1500,3400,gut
1,gaëlic way,danz,,56.5,1900,5500,gut
2,gambadino,panov,,59.0,1900,5500,gut
3,der stern,mitchell,,56.0,1900,5500,gut
4,a miracle,schurig,,57.0,1900,5500,gut
5,korado,best,,56.0,1900,5500,gut
6,ustana,moffatt,,56.0,1900,5500,gut
7,pipita,vilmar,,57.0,1900,5500,gut
8,beresina,piechulek,,56.0,1900,5500,gut
1,koffi prince,panov,,58.0,2000,5100,gut
2,fidelberta,mitchell,,56.0,2000,5100,gut
3,kenzo,danz,,57.0,2000,5100,gut
4,donau (ire),hofer,,56.0,2000,5100,gut
5,darioush,piechulek,,58.0,2000,5100,gut
6,the toyboy,best,,58.0,2000,5100,gut
7,jack brown,gibson,,58.0,2000,5100,gut
1,lado,mitchell,,58.5,2200,4200,gut
2,la grassetta,hofer,,56.0,2200,4200,gut
3,martha,vilmar,,51.0,2200,4200,gut
4,dorola,piechulek,,62.0,2200,4200,gut
5,bojar,moffatt,,55.0,2200,4200,gut
6,coca,schurig,,57.0,2200,4200,gut
1,valeron (ire),piechulek,,66.0,1900,3400,gut
2,rosentor,juracek,,60.0,1900,3400,gut
3,chrysanthus,panov,,58.0,1900,3400,gut
4,air attack (ire),moffatt,,65.0,1900,3400,gut
5,house of orange,best,,61.5,1900,3400,gut
6,silenos,gibson,,57.0,1900,3400,gut
7,kavendish,hofer,,54.0,1900,3400,gut
8,reality,lenartowicz,,63.0,1900,3400,gut
9,sweet devil,vilmar,,53.0,1900,3400,gut
10,asuria,schurig,,51.0,1900,3400,gut
1,bold jack donahue,weißmeier,,64.0,2200,2500,Sand
2,hartshead flyer (ire),kurimska,,67.0,2200,2500,Sand
3,icecube,weißmeier,,68.0,2200,2500,Sand
4,tigers star,weißmeier,,57.0,2200,2500,Sand
5,neroli note,bieß,,55.0,2200,2500,Sand
6,islington,großmann,,55.0,2200,2500,Sand
7,sulanag,donze,,53.0,2200,2500,Sand
1,namecheck,weißmeier,,63.0,1800,1600,Sand
2,lordsbury pride,weißmeier,,65.0,1800,1600,Sand
3,opera storm,großmann,,59.0,1800,1600,Sand
4,olio chop,weißmeier,,59.0,1800,1600,Sand
1,anna katharina,seidl,,58.0,2200,8750,gut
2,rose rized,starke,,58.0,2200,8750,gut
3,sa calobra,pietsch,,57.0,2200,8750,gut
4,fiora,frank,,57.0,2200,8750,gut
5,words of love,minarik,,57.0,2200,8750,gut
6,wild butterfly,de vries,,57.0,2200,8750,gut
1,invictus,minarik,,56.0,1850,5100,gut
2,rabi,seidl,,56.0,1850,5100,gut
3,novalis,de vries,,56.5,1850,5100,gut
4,worlds fire,frank,,56.0,1850,5100,gut
5,abbey,hellyn,,54.0,1850,5100,gut
6,lacato (ire),starke,,56.0,1850,5100,gut
1,troyanda,weber,,58.5,1850,5550,gut
2,rising rock,schiergen,,60.0,1850,5550,gut
3,lady lovelace,gier,,63.0,1850,5550,gut
4,crespo,laznovska,,56.0,1850,5550,gut
5,earl of heaven,brüggemann,,62.5,1850,5550,gut
6,golden horse,timpelan,,60.0,1850,5550,gut
7,tasmeem,eck,,69.0,1850,5550,gut
8,alta monte,mattes,,58.0,1850,5550,gut
9,red dynamite,weber,,61.5,1850,5550,gut
10,hansom,giesgen,,64.0,1850,5550,gut
11,anna sophie,giesgen,,54.5,1850,5550,gut
12,tshirina,lübcke,,57.0,1850,5550,gut
1,guiliani (ire),minarik,,58.5,1600,25000,gut
2,wild chief,pietsch,,57.0,1600,25000,gut
3,felician,havlin,,58.5,1600,25000,gut
4,gereon,schiergen,,57.0,1600,25000,gut
5,matorio,werle,,55.5,1600,25000,gut
6,global bang,cadeddu,,57.0,1600,25000,gut
7,wilshire boulevard,johansen,,57.0,1600,25000,gut
8,giovanni boldini,wilson,,60.0,1600,25000,gut
9,nordico,de vries,,60.0,1600,25000,gut
10,ajaxana,hellyn,,57.0,1600,25000,gut
1,silvery moon (fr),starke,,56.5,1600,6500,gut
2,fiorella (gb),havlin,,55.5,1600,6500,gut
3,eujeny,prasser,,56.0,1600,6500,gut
4,dark forrest,frank,,57.0,1600,6500,gut
5,larra chope (fr),de vries,,56.0,1600,6500,gut
6,donatella,scardino,,55.0,1600,6500,gut
7,casiro,porcu,,57.0,1600,6500,gut
8,favorfoot danon (ire),bojko,,57.0,1600,6500,gut
9,tjerk (hol),cadeddu,,61.0,1600,6500,gut
10,sao paulo,seidl,,58.5,1600,6500,gut
11,kitaneso (gb),pietsch,,66.0,1600,6500,gut
12,tahmineh,hellyn,,57.0,1600,6500,gut
1,guardini,minarik,,57.0,2400,70000,gut
2,girolamo,starke,,57.0,2400,70000,gut
3,eric,pietsch,,57.0,2400,70000,gut
4,earl of tinsdal,bojko,,57.0,2400,70000,gut
5,mekong river,wilson,,57.0,2400,70000,gut
6,sirius,hellyn,,60.0,2400,70000,gut
1,nutan,starke,,58.0,2200,5100,gut
2,mastermind,pardon,,57.0,2200,5100,gut
3,camberwell,de vries,,57.0,2200,5100,gut
4,leonido (gb),pietsch,,57.5,2200,5100,gut
5,someone like you,porcu,,57.0,2200,5100,gut
6,james cook,nenadovic,,52.0,2200,5100,gut
1,fly first (gb),starke,,61.0,1400,10000,gut
2,dragoslav (gb),porcu,,55.0,1400,10000,gut
3,layer cake,troost,,58.0,1400,10000,gut
4,jack sparrow,hellyn,,57.0,1400,10000,gut
5,gamgoom (gb),minarik,,55.0,1400,10000,gut
6,key to fun,ganbat,,60.0,1400,10000,gut
7,el zagal,clijmans,,55.5,1400,10000,gut
8,spirit doll (hol),caddedu,,55.5,1400,10000,gut
9,historic occasion (ire),pietsch,,57.0,1400,10000,gut
1,sign,cadeddu,,53.0,2400,6000,gut
2,dao vasco,minarik,,52.5,2400,6000,gut
3,allianz,starke,,57.5,2400,6000,gut
4,theology,wagner,,61.0,2400,6000,gut
5,christoph columbus,pecheur,,52.0,2400,6000,gut
6,akiyana,bojko,,55.0,2400,6000,gut
7,fürst twen,ferguson,,59.0,2400,6000,gut
8,dibadu (fr),scardino,,56.0,2400,6000,gut
1,zinnobar,dehens,,60.5,2100,8000,Sand
2,jee pee de belgiek,velde,,55.5,2100,8000,Sand
3,inzeo,braem,,61.0,2100,8000,Sand
4,barneys niece,heitz,,53.0,2100,8000,Sand
5,quality mark,minarik,,60.5,2100,8000,Sand
6,dark ambition,hellyn,,54.0,2100,8000,Sand
7,vale of lingfield,marien,,56.0,2100,8000,Sand
8,murakami,francois,,62.5,2100,8000,Sand
9,wellitas,troost,,55.0,2100,8000,Sand
10,alanis,jeanpierre,,56.5,2100,8000,Sand
11,third half,suain,,63.0,2100,8000,Sand
12,pedregalejo,deau,,59.5,2100,8000,Sand
13,paris phil,bertiaux,,59.5,2100,8000,Sand
14,spirit is needed, de koninck,,61.0,2100,8000,Sand
1,henke (ire),piechulek,,57.0,950,4000,Sand
2,skyteam,francois,,60.5,950,4000,Sand
3,el bandino,hofer,,55.0,950,4000,Sand
4,diamond johnny g,braem,,63.5,950,4000,Sand
5,ashes to glory (gb),minarik,,61.5,950,4000,Sand
6,munazan,hellyn,,62.0,950,4000,Sand
7,coalburn (gb),marien,,53.5,950,4000,Sand
8,shillito (gb),dehens,,56.0,950,4000,Sand
9,lisselton cross (gb),troost,,63.5,950,4000,Sand
10,valorio,jeanpierre,,55.0,950,4000,Sand
11,so well,gillet,,57.0,950,4000,Sand
12,the doyle machine,clijmans,,57.5,950,4000,Sand
13,zoro,bertiaux,,55.0,950,4000,Sand
14,forest glen,troost,,55.0,950,4000,Sand
1,western prize,braem,,57.0,2100,5600,Sand
2,oriental express,dehens,,58.5,2100,5600,Sand
3,duo victorieux (fr),troost,,58.0,2100,5600,Sand
4,my grand duke,marien,,55.0,2100,5600,Sand
5,berenice,velde,,55.0,2100,5600,Sand
6,nireas,hellyn,,57.0,2100,5600,Sand
7,sinadinou,minarik,,57.0,2100,5600,Sand
8,jordans tiger (fr),troost,,59.0,2100,5600,Sand
9,taras treasure,deau,,59.0,2100,5600,Sand
10,holzer,suain,,57.0,2100,5600,Sand
11,héroïna,jeanpierre,,58.5,2100,5600,Sand
12,alte liebe,francois,,58.0,2100,5600,Sand
1,silver songstress,weißmeier,,55.0,1500,4000,Sand
2,kabyrza,deau,,56.0,1500,4000,Sand
3,fair ranger,braem,,63.0,1500,4000,Sand
4,youhavecontrol,duporté,,59.0,1500,4000,Sand
5,commanche raider,clijmans,,64.0,1500,4000,Sand
6,mon desir,hellyn,,58.0,1500,4000,Sand
7,mitchell (gb),swinnens,,58.5,1500,4000,Sand
8,moonlit dancer,bertiaux,,56.0,1500,4000,Sand
9,hugely exciting,francois,,61.0,1500,4000,Sand
10,marksbury,amiot,,59.0,1500,4000,Sand
1,greeleys love,braem,,60.0,1500,8000,Sand
2,full pelt,dehens,,63.0,1500,8000,Sand
3,mountain view,piechulek,,61.0,1500,8000,Sand
4,welsh sunrise,minarik,,57.5,1500,8000,Sand
5,viennoise,bertiaux,,54.5,1500,8000,Sand
6,makin,jeanpierre,,61.0,1500,8000,Sand
7,forester (ire),heitz,,56.0,1500,8000,Sand
8,kirtling belle,marien,,53.5,1500,8000,Sand
9,valley post,hellyn,,54.0,1500,8000,Sand
1,matka,botte,,63.5,2300,4000,Sand
2,tislaam,vermeersch,,62.0,2300,4000,Sand
3,master fong,deno,,68.0,2300,4000,Sand
4,fernobia,braem,,62.5,2300,4000,Sand
5,multifact,verbeke,,66.0,2300,4000,Sand
6,hail caesar,couturat,,64.0,2300,4000,Sand
7,cesar, de meester,,63.0,2300,4000,Sand
1,koonari (fr),hellyn,,60.0,1500,4000,Sand
2,style dreams,suain,,55.0,1500,4000,Sand
3,chalkida,minarik,,55.0,1500,4000,Sand
4,ypsilon red,dehens,,55.0,1500,4000,Sand
5,black merci,troost,,53.5,1500,4000,Sand
6,ridjarose,jeanpierre,,53.5,1500,4000,Sand
7,cap mistral,deau,,53.5,1500,4000,Sand
8,sulphur (fr),hofer,,53.5,1500,4000,Sand
1,augusta,hellyn,,57.0,1750,10000,gut
2,dynastie,seidl,,57.0,1750,10000,gut
3,artiste time,cadeddu,,58.0,1750,10000,gut
4,attitude,minarik,,57.5,1750,10000,gut
5,vinea valentine,veron,,57.0,1750,10000,gut
6,love more,porcu,,57.0,1750,10000,gut
1,tallevu (ire),porcu,,55.5,2800,6000,gut
2,mood indigo,minarik,,52.0,2800,6000,gut
3,osthurry,hofer,,55.0,2800,6000,gut
4,danon attacker,hellyn,,58.0,2800,6000,gut
5,kepheus,cadeddu,,53.0,2800,6000,gut
6,leila,scardino,,56.5,2800,6000,gut
1,nuoro,scardino,,55.5,2400,3800,gut
2,just in front,minarik,,60.5,2400,3800,gut
3,clivia,hofer,,56.0,2400,3800,gut
4,shaw,oppermann,,62.0,2400,3800,gut
5,othelco,porcu,,56.0,2400,3800,gut
6,quantum of solace,cadeddu,,56.0,2400,3800,gut
7,mon pasha,seidl,,56.0,2400,3800,gut
1,devastar,seidl,,57.5,2000,10000,gut
2,sweet thomas,minarik,,57.5,2000,10000,gut
3,mister universum,hellyn,,58.0,2000,10000,gut
4,bonusdargent,veron,,57.5,2000,10000,gut
5,loulous jackpot,foley,,57.5,2000,10000,gut
6,sabo,cadeddu,,57.5,2000,10000,gut
7,heart storm (ire),porcu,,57.5,2000,10000,gut
8,fantastic black,oppermann,,54.5,2000,10000,gut
1,pistolero,hellyn,,57.5,2000,4000,gut
2,wind chill,pardon,,58.0,2000,4000,gut
3,just this one,seidl,,56.5,2000,4000,gut
4,sexy girl (gb),jones,,56.0,2000,4000,gut
5,ledena (gb),porcu,,56.5,2000,4000,gut
6,winley,cadeddu,,58.0,2000,4000,gut
7,genax (ire),hofer,,56.0,2000,4000,gut
8,mozart,gibson,,57.5,2000,4000,gut
1,atiana,hellyn,,56.0,1750,6000,gut
2,proud dancer,seidl,,60.0,1750,6000,gut
3,wunschkonzert,hofer,,54.0,1750,6000,gut
4,dreamworks,veron,,61.5,1750,6000,gut
5,dawn calling (ire),porcu,,55.5,1750,6000,gut
6,viscount vert (ire),cadeddu,,57.0,1750,6000,gut
7,tasci,scardino,,60.0,1750,6000,gut
8,caesarion,minarik,,57.5,1750,6000,gut
1,alaskakönigin,seidl,,57.0,2000,25000,gut
2,elora princess,hellyn,,57.0,2000,25000,gut
3,daytona bay,jones,,58.0,2000,25000,gut
4,aylin,karlsson,,57.0,2000,25000,gut
5,kamellata,veron,,58.0,2000,25000,gut
6,greek sphere,porcu,,57.0,2000,25000,gut
7,global wand,cadeddu,,57.0,2000,25000,gut
8,high strung (ire),foley,,57.0,2000,25000,gut
9,glee,minarik,,57.0,2000,25000,gut
1,miss amber,scardino,,57.5,1200,4500,gut
2,orpens art (ire),hellyn,,62.0,1200,4500,gut
3,millies quest (gb),seidl,,60.5,1200,4500,gut
4,belus,porcu,,55.5,1200,4500,gut
5,sharp bullet,oppermann,,59.5,1200,4500,gut
6,zarrentin,gibson,,64.0,1200,4500,gut
7,dimantina,minarik,,52.0,1200,4500,gut
1,the firefly,rödel,,61.5,1750,4850,gut
2,floralys (usa),werning,,55.5,1750,4850,gut
3,iniesta,porcu,,55.0,1750,4850,gut
4,humpry,hofer,,54.0,1750,4850,gut
5,banzai (fr),scardino,,55.5,1750,4850,gut
6,worldwide,gibson,,61.5,1750,4850,gut
7,diani (gb),blasczyk,,67.0,1750,4850,gut
8,pancho villas (ire),beckmann,,60.0,1750,4850,gut
9,coya,minarik,,54.0,1750,4850,gut
10,waculy,seidl,,56.0,1750,4850,gut
11,keira,cadeddu,,57.5,1750,4850,gut
12,armour plate,oppermann,,54.0,1750,4850,gut
1,finch hatton,jones,,58.0,1400,3000,gut
2,zalata,porcu,,56.0,1400,3000,gut
3,giolino,gibson,,58.0,1400,3000,gut
4,pamina,prasser,,52.0,1400,3000,gut
5,birthday queen,hellyn,,56.0,1400,3000,gut
6,hachico (gb),stefutti,,55.0,1400,3000,gut
1,twilight,schiergen,,58.0,1800,8750,gut
2,arizona,de vries,,56.0,1800,8750,gut
3,wirbelwind,panov,,58.0,1800,8750,gut
4,south carolina,pedroza,,56.5,1800,8750,gut
5,proud rock,pietsch,,56.0,1800,8750,gut
6,running star,bojko,,58.0,1800,8750,gut
7,tabaluga,piechulek,,56.0,1800,8750,gut
8,praise (ire),schiergen,,56.0,1800,8750,gut
9,algyr,ganbat,,58.0,1800,8750,gut
1,jungleboogie,piechulek,,54.5,2000,7500,gut
2,mondello,starke,,58.0,2000,7500,gut
3,mr beauregard (usa),best,,60.0,2000,7500,gut
4,delegation (fr),bojko,,60.0,2000,7500,gut
5,siberian princess,schiergen,,57.0,2000,7500,gut
6,cosinus,frank,,59.0,2000,7500,gut
7,leo el toro,ferguson,,62.5,2000,7500,gut
8,new jersey,schurig,,50.0,2000,7500,gut
9,phandorra,de vries,,56.0,2000,7500,gut
1,apoleon,ganbat,,60.0,1800,8500,gut
2,reality,pietsch,,56.0,1800,8500,gut
3,bor,schiergen,,57.0,1800,8500,gut
4,nightdance prince,starke,,58.5,1800,8500,gut
5,classic blues,ferguson,,59.0,1800,8500,gut
6,adira,pedroza,,57.5,1800,8500,gut
7,panatella,guanti,,61.0,1800,8500,gut
8,baba jaga,bojko,,57.5,1800,8500,gut
9,lepanosie,schiergen,,58.5,1800,8500,gut
10,ramoa,piechulek,,56.5,1800,8500,gut
11,holy rose,frank,,56.0,1800,8500,gut
12,kenia,de vries,,62.0,1800,8500,gut
1,ice man star,frank,,59.0,1600,52000,gut
2,drummer,starke,,55.0,1600,52000,gut
3,sanandaj,hardouin,,53.0,1600,52000,gut
4,sealord,panov,,55.0,1600,52000,gut
5,pearl diamond,pietsch,,55.0,1600,52000,gut
6,polarstern,ferguson,,56.0,1600,52000,gut
7,call me number one,piechulek,,54.0,1600,52000,gut
8,zazoulino,ganbat,,57.0,1600,52000,gut
9,attraction,de vries,,57.0,1600,52000,gut
10,kimberleys dream,bojko,,53.0,1600,52000,gut
1,burschentanz,pedroza,,55.0,1600,12000,gut
2,sha gino,bojko,,54.0,1600,12000,gut
3,sarisha,frank,,60.0,1600,12000,gut
4,ciel de loire,ferguson,,57.0,1600,12000,gut
5,action please,moffatt,,57.0,1600,12000,gut
6,rosenkönig,schiergen,,59.5,1600,12000,gut
7,el donno,best,,59.5,1600,12000,gut
8,eyasi (ire),ganbat,,55.0,1600,12000,gut
1,ephraim,frank,,57.0,3200,55000,gut
2,swordshire,pedroza,,57.0,3200,55000,gut
3,walzertakt,piechulek,,57.0,3200,55000,gut
4,salut,starke,,58.0,3200,55000,gut
5,red ghost,ganbat,,58.0,3200,55000,gut
6,born to run,pietsch,,57.0,3200,55000,gut
7,virginia sun,de vries,,56.5,3200,55000,gut
8,kaldera,hardouin,,57.5,3200,55000,gut
1,gone by,hardouin,,53.0,2200,12000,gut
2,alberto hawaii,pedroza,,60.0,2200,12000,gut
3,fair trade,panov,,59.0,2200,12000,gut
4,manolito,ferguson,,59.0,2200,12000,gut
5,dreamspeed,piechulek,,54.0,2200,12000,gut
6,storm,best,,57.5,2200,12000,gut
7,szumawa,bojko,,55.5,2200,12000,gut
8,schiller danon,schurig,,50.0,2200,12000,gut
1,summershine (ire),ganbat,,62.0,2000,4500,gut
2,alwin,schiergen,,58.5,2000,4500,gut
3,la grassetta,de vries,,59.0,2000,4500,gut
4,emerald fury,juracek,,62.0,2000,4500,gut
5,maupiti express,frank,,57.0,2000,4500,gut
6,dashings diamond,bojko,,53.0,2000,4500,gut
7,rubylana,moffatt,,52.0,2000,4500,gut
8,house of orange,best,,58.5,2000,4500,gut
9,belle zorro,starke,,55.5,2000,4500,gut
1,pantella,rose,,70.0,1300,4500,gut
2,soreion,brüggemann,,61.0,1300,4500,gut
3,pavana,giesgen,,61.5,1300,4500,gut
4,mex (bel),dygas,,62.0,1300,4500,gut
5,east of eden,laznovska,,63.5,1300,4500,gut
