Place,Horse_name,Jockey_name,Trainer_name,Weight,Distance,Prize,Ground_state
10,betsy princess,krowicki,,56.0,1950,0,nass
11,silvana rio,laznovska,,55.0,1950,0,nass
12,ricasiendo,richter,,58.0,1950,0,nass
13,dorietta,werning,,56.0,1950,0,nass
14,uliana,clijmans,,56.0,1950,0,nass
1,sagawing,mattes,,57.5,2500,0,nass
2,daring rudolph,wandt,,53.0,2500,0,nass
3,aerobic,werning,,58.0,2500,0,nass
4,occiobella,minarik,,55.0,2500,0,nass
5,novillo,pecheur,,53.0,2500,0,nass
6,petit filou,richter,,51.5,2500,0,nass
7,alluvia,pietsch,,58.5,2500,0,nass
8,al punto,schurig,,49.0,2500,0,nass
9,atalei,murke,,51.0,2500,0,nass
10,overclass,bojko,,52.0,2500,0,nass
11,""" kings special """,glomba,,51.5,2500,0,nass
12,pearl of danon,best,,56.0,2500,0,nass
13,golden tough,seidl,,52.0,2500,0,nass
14,naimou,porcu,,57.5,2500,0,nass
1,obelisk,bojko,,57.0,1800,0,nass
2,torres,best,,54.0,1800,0,nass
3,naidoo,pecheur,,54.0,1800,0,nass
4,swift return (gb),wandt,,54.0,1800,0,nass
5,la strada,richter,,54.5,1800,0,nass
6,willow,starke,,57.0,1800,0,nass
7,variety show,clijmans,,57.5,1800,0,nass
8,caesarion,seidl,,58.0,1800,0,nass
9,tremendous,weis,,60.0,1800,0,nass
10,neapel,schurig,,49.0,1800,0,nass
11,hideki danon,minarik,,54.0,1800,0,nass
12,anna greta,werning,,58.0,1800,0,nass
13,mirada,tessarin,,55.0,1800,0,nass
14,kupferrot,mouchova,,55.0,1800,0,nass
1,marolo,oppermann,,55.0,1200,0,nass
2,fashion tycoon,piechulek,,56.0,1200,0,nass
3,war bride,clijmans,,63.5,1200,0,nass
4,presence,ganbat,,56.5,1200,0,nass
5,inika,wandt,,55.5,1200,0,nass
6,""" kunos ritter """,schiergen,,58.0,1200,0,nass
7,pythonga,bojko,,56.5,1200,0,nass
8,royal bonita,murke,,52.0,1200,0,nass
9,pink please,minarik,,59.5,1200,0,nass
10,hay fever,schurig,,60.5,1200,0,nass
11,yes i will,seidl,,53.0,1200,0,nass
12,tiger queen,best,,53.0,1200,0,nass
1,red suede shoes,minarik,,57.0,1950,0,nass
2,fresh lady,bojko,,58.0,1950,0,nass
3,waliano,murke,,51.5,1950,0,nass
4,prima danon,pecheur,,57.5,1950,0,nass
5,nemo,seidl,,53.5,1950,0,nass
6,baitsileir,wandt,,54.0,1950,0,nass
7,avanti,starke,,61.0,1950,0,nass
8,prinz phönix,pietsch,,59.0,1950,0,nass
9,adalea,krowicki,,56.5,1950,0,nass
10,nicoletta ana,richter,,51.5,1950,0,nass
11,mariston,best,,61.0,1950,0,nass
12,turflöwe,porcu,,58.0,1950,0,nass
