Date,Location,Distance,Prize,Category,Class,Ground_state,Horses
               18. August 2019             ,              Hannover            ,2000 m  ,  6000 €,D,,                     Boden: weich                  ,"['                   1.             ', ' Wachmann ', 'B.Ganbat', 'S.Richter', '58,0', '                   2.             ', ' Moon Power ', 'Jiri Palik', 'S.Schütz', '56,0', '                   3.             ', ' Let Me Know ', 'W.Panov', 'D.Moser', '54,5', '                   4.             ', ' LUtopie ', 'M.Casamento', 'S.Schütz', '54,0', '                   5.             ', ' Tamsin ', 'B.Murzabayev', 'R.Dzubasz', '56,0', '                   6.             ', ' Rainbow Lady (IRE) ', 'M.Pecheur', 'B.Nedorostek', '54,0', '                   7.             ', ' Salamanca ', 'A.Helfenbein', 'P.Bradik', '54,0', '                   8.             ', ' Actona ', 'J.L.Silverio', 'B.Nedorostek', '54,0']"
               18. August 2019             ,              Hannover            ,1300 m  ,  8500 €,D,III,                     Boden: weich                  ,"['                   1.             ', ' Power Jack (GB) ', 'W.Panov', 'B.Nedorostek', '55,5', '                   2.             ', ' Anno Mio ', 'L.M.Engels', 'D.Moser', '59,0', '                   3.             ', ' Reine Des Fleurs ', 'B.Murzabayev', 'R.Dzubasz', '58,0', '                   4.             ', ' Kareless (IRE) ', 'M.Pecheur', 'F.Fuhrmann', '52,5', '                   5.             ', ' Dark Forrest ', 'B.Ganbat', 'J.I.Meinecke', '55,5', '                   6.             ', ' Nadelwald (GB) ', 'A.de Vries', 'C.J.M.Wolters/NL', '60,0', '                   7.             ', ' Contessa ', 'F.Minarik', 'H.J.Gröschel', '60,5', '                   8.             ', ' Wangi Wangi ', 'Mirko Sanna', 'J.Korpas', '57,5', '                   9.             ', ' Casinomaster (IRE) ', 'J.Bojko', 'F.Fuhrmann', '55,5', '                   10.             ', ' Birthday Prince ', 'A.Helfenbein', 'G.Lentz', '55,0', '                   11.             ', ' Voodoo ', 'C.Henrique', 'H.Kienemann', '52,5', '                   12.             ', ' Boy Charlton (IRE) ', 'M.Casamento', 'F.Fuhrmann', '55,5']"
               18. August 2019             ,              Hannover            ,1750 m  ,  22500 €,C,I,                     Boden: weich                  ,"['                   1.             ', ' Cassilero ', 'W.Panov', 'K.Demme', '53,5', '                   2.             ', ' Alinaro ', 'F.Marcialis', 'H.Grewe', '61,5', '                   3.             ', ' Be Sweet ', 'C.Henrique', 'H.J.Gröschel', '52,0', '                   4.             ', ' Vatenko ', 'B.Murzabayev', 'R.Dzubasz', '54,5', '                   5.             ', ' Mister Onyx ', 'M.Pecheur', 'W.Glanz', '53,0', '                   6.             ', ' Santiano ', 'L.M.Engels', 'T.Reineke', '62,5', '                   7.             ', ' Armance (FR) ', 'M.Casamento', 'S.Richter', '62,0']"
               18. August 2019             ,              Hannover            ,2200 m  ,  25000 €,A,Liste,                     Boden: weich                  ,"['                   1.             ', ' Ladykiller ', 'B.Murzabayev', 'A.Wöhler', '54,5', '                   2.             ', ' Edith ', 'J.Safar', 'R.Dzubasz', '56,5', '                   3.             ', ' Weltstar ', 'M.Pecheur', 'M.Klug', '58,0', '                   4.             ', ' Liberty London ', 'W.Panov', 'H.J.Gröschel', '53,0', '                   5.             ', ' Wild Comet ', 'M.Casamento', 'Marco Klein', '56,5', '                   NS             ', ' Secret Potion ', 'A.de Vries', 'H.Grewe', '55,0']"
               18. August 2019             ,              Hannover            ,1900 m  ,  5350 €,E,IV,                     Boden: weich                  ,"['                   1.             ', ' Shoemaker ', 'A.de Vries', 'P.Vovcenko', '55,5', '                   2.             ', ' Nomia ', 'W.Panov', 'M.Angermann', '56,5', '                   3.             ', ' Little Love ', 'M.Casamento', 'U.Stech', '54,0', '                   4.             ', ' Dafina ', 'B.Ganbat', 'J.I.Meinecke', '57,0', '                   5.             ', ' Van Venture ', 'A.Helfenbein', 'P.Bradik', '55,5', '                   6.             ', ' Ragazza (GB) ', 'C.Henrique', 'M.Lindemann', '53,0', '                   7.             ', ' Imposito ', 'F.Minarik', 'H.J.Stolberg', '57,0', '                   8.             ', ' Fireprincess ', 'J.Bojko', 'P.Vovcenko', '54,0', '                   9.             ', ' Colorado Sun ', 'Jiri Palik', 'B.Nedorostek', '61,5', '                   10.             ', ' Idolo ', 'M.Pecheur', 'H.J.Stolberg', '52,0', '                   11.             ', ' Power General (IRE) ', 'C.Santangelo', 'I.Ferentschak', '59,5', '                   12.             ', ' Lady Leoso ', 'R.Danz', 'H.Nienstädt', '52,0', '                   13.             ', ' Kiyana ', 'B.Murzabayev', 'T.Reineke', '58,5', '                   14.             ', ' Khoraya ', 'F.X.Weißmeier', 'H.Nienstädt', '59,0']"
               18. August 2019             ,              Hannover            ,1750 m  ,  52000 €,C,,                     Boden: weich                  ,"['                   1.             ', ' Say Good Buy ', 'C.Henrique', 'H.Grewe', '60,0', '                   2.             ', ' Propolia ', 'M.Pecheur', 'W.Glanz', '52,0', '                   3.             ', ' König Platon ', 'W.Panov', 'J.Hirschberger', '57,0', '                   4.             ', ' Alpinius ', 'B.Ganbat', 'U.Stech', '57,0', '                   5.             ', ' Barbados (FR) ', 'F.Minarik', 'P.Schiergen', '58,0', '                   6.             ', ' Vicente ', 'J.Safar', 'P.Vovcenko', '57,0', '                   7.             ', ' Departing ', 'V.Schiergen', 'P.Schiergen', '58,0', '                   8.             ', ' Miss Mae ', 'Mirko Sanna', 'H.Grewe', '58,0', '                   9.             ', ' Next Soldier ', 'J.Bojko', 'Y.Almenräder', '54,0', '                   10.             ', ' King ', 'A.de Vries', 'C.J.M.Wolters/NL', '60,0', '                   11.             ', ' Nickos ', 'Jiri Palik', 'R.Dzubasz', '55,0', '                   12.             ', ' Alaska Wolf ', 'M.Casamento', 'W.Hickst', '54,0', '                   13.             ', ' Global Cloud ', 'B.Murzabayev', 'R.Dzubasz', '57,0', '                   14.             ', ' Royal Lion ', 'A.Helfenbein', 'J.Hirschberger', '56,0']"
               18. August 2019             ,              Hannover            ,1600 m  ,  6000 €,D,,                     Boden: weich                  ,"['                   1.             ', ' Jin Jin (IRE) ', 'M.Pecheur', 'B.Nedorostek', '56,0', '                   2.             ', ' Louna Amica ', 'B.Ganbat', 'U.Stech', '56,0', '                   3.             ', ' Voodoo Speed ', 'L.M.Engels', 'H.Kienemann', '54,0', '                   4.             ', ' Polly Storm (CZE) ', 'Jiri Palik', 'J.Korpas', '58,0', '                   5.             ', ' Karl ', 'J.Bojko', 'A.Glodde', '58,0', '                   6.             ', ' Bella Sarah ', 'F.X.Weißmeier', 'K.Kaczmarek', '57,0', '                   7.             ', ' Achzarit ', 'Mirko Sanna', 'H.Kienemann', '56,0', '                   8.             ', ' Godrics Hollow ', 'A.Weis', 'B.Nedorostek', '58,0', '                   NS             ', ' Lirango ', 'M.Casamento', 'E.Storp', '58,0', '                   NS             ', ' Valanca ', 'B.Murzabayev', 'R.Dzubasz', '56,0']"
               18. August 2019             ,              Hannover            ,1400 m  ,  5000 €,F,IV,                     Boden: weich                  ,"['                   1.             ', ' Circuskind (IRE) ', 'M.Pecheur', 'F.Fuhrmann', '58,0', '                   2.             ', ' Turfglocke ', 'B.Ganbat', 'S.Richter', '58,0', '                   3.             ', ' Ohne Tadel ', 'R.Danz', 'D.Lüker', '52,0', '                   4.             ', ' Tribesman (GB) ', 'J.Beckmann', 'J.Beckmann', '53,5', '                   5.             ', ' Almudis ', 'F.Minarik', 'A.Glodde', '52,0', '                   6.             ', ' Danon Perth (AUS) ', 'W.Panov', 'M.Lindemann', '54,0', '                   7.             ', ' Brown Beauty (IRE) ', 'M.Casamento', 'F.Fuhrmann', '60,0', '                   8.             ', ' Rateel (IRE) ', 'J.Bojko', 'F.Fuhrmann', '58,0', '                   9.             ', ' Dutch Academy (GB) ', 'B.Murzabayev', 'S.Winter', '61,0', '                   10.             ', ' Jazz Bay (GB) ', 'U.Timmermann', 'I.Ferentschak', '61,0', '                   11.             ', ' Stanley Daley (IRE) ', 'A.de Vries', 'D.Lüker', '55,5', '                   12.             ', ' Awjab (IRE) ', 'A.Helfenbein', 'S.Rank', '53,5']"
               18. August 2019             ,              Hannover            ,2400 m  ,  8000 €,D,III,                     Boden: weich                  ,"['                   1.             ', ' Mooniac ', 'B.Murzabayev', 'R.Dzubasz', '57,0', '                   2.             ', ' Chesnee (IRE) ', 'Jiri Palik', 'B.Nedorostek', '56,0', '                   3.             ', ' Valentino Dancer (FR) ', 'F.Minarik', 'B.Nedorostek', '52,0', '                   4.             ', ' Escobar ', 'M.Casamento', 'C.Barsig', '59,5', '                   5.             ', ' Purple Rose ', 'C.Henrique', 'B.Nedorostek', '52,5', '                   6.             ', ' Wackere ', 'M.Pecheur', 'M.Klug', '59,5', '                   7.             ', ' Palace King ', 'B.Ganbat', 'S.Richter', '57,5', '                   8.             ', ' Yori (IRE) ', 'L.M.Engels', 'P.Vovcenko', '58,0']"
               24. August 2019             ,              Baden-Baden            ,1500 m  ,  7500 €,D,,                     Boden: gut                  ,"['                   1.             ', ' A Racing Beauty ', 'L.Delozier', 'H.Grewe', '56,0', '                   2.             ', ' Palimero ', 'M.Cadeddu', 'M.Hofer', '58,0', '                   3.             ', ' Planteurs Whiskey (FR) ', 'Jiri Palik', 'M.Musialova', '58,0', '                   4.             ', ' Sovereign State ', 'A.de Vries', 'Y.Almenräder', '58,0', '                   5.             ', ' Maitani ', 'A.v.d.Troost', 'Y.Almenräder', '58,0', '                   6.             ', ' Henry Golightly ', 'B.Murzabayev', 'M.Rulec', '58,0', '                   7.             ', ' Prince Oliver (FR) ', 'R.Almonacid', 'M.Figge', '58,0', '                   8.             ', ' Von Amaron ', 'S.Vogt', 'C.Bocskai', '58,0']"
