Date,Location,Distance,Prize,Category,Class,Ground_state,Horses
               21. September 2014             ,              Hannover            ,2200 m  ,  0 €,,,                     Boden: g-w                  ,"['                   1.             ', ' Tenero ', 'G.Brouder', '', '54,5', '                   2.             ', ' Réjouissance ', 'L.Delozier', '', '55,0', '                   3.             ', ' Puna ', 'C.Jenner', '', '54,5', '                   4.             ', ' La Janina ', 'F.Marcialis', '', '62,5', '                   5.             ', ' Lantino ', 'T.Scardino', '', '57,5', '                   6.             ', ' Arte Sacra ', 'P.Donovan', '', '62,0', '                   7.             ', ' Rudina ', 'C.Murray', '', '54,0', '                   8.             ', ' Labon ', 'A.Dias', '', '54,0', '                   9.             ', ' Majestic ', 'F.Ladu', '', '56,0', '                   10.             ', ' Alanco ', 'L.Leadbitter', '', '54,0', '                   11.             ', ' Santa Ponsa ', 'J.Vaughan', '', '54,0']"
               21. September 2014             ,              Hannover            ,1900 m  ,  0 €,,,                     Boden: g-w                  ,"['                   1.             ', ' Abraxa ', 'J.Auge', '', '54,5', '                   2.             ', ' New World ', 'J.Mitchell', '', '54,5', '                   3.             ', ' Emily Of Tinsdal ', 'W.Panov', '', '58,5', '                   4.             ', ' Paris Rose ', 'J.Bojko', '', '57,0', '                   5.             ', ' Good Donna ', 'M.Cadeddu', '', '54,5', '                   6.             ', ' Elora Princess ', 'M.Seidl', '', '54,5', '                   7.             ', ' Sarinda ', 'A.Crastus', '', '56,0', '                   8.             ', ' Vallecupa ', 'B.Ganbat', '', '56,0', '                   9.             ', ' Night Power ', 'G.Pardon', '', '57,0', '                   10.             ', ' Si Luna ', 'H.Mouchova', '', '57,0', '                   11.             ', ' Global Wand ', 'F.Minarik', '', '54,5']"
               21. September 2014             ,              Hannover            ,1600 m  ,  0 €,,,                     Boden: g-w                  ,"['                   1.             ', ' Chesturo ', 'J.Bojko', '', '56,0', '                   2.             ', ' Sugar Love ', 'D.Schiergen', '', '59,0', '                   3.             ', ' La Louz ', 'B.Ganbat', '', '57,0', '                   4.             ', ' Lady Lovelace ', 'E.R.Weißmeier', '', '51,0', '                   5.             ', ' Super Electra ', 'G.Pardon', '', '59,0', '                   6.             ', ' Precious Promise ', 'W.Panov', '', '59,0', '                   7.             ', ' Wikonda ', 'A.Weis', '', '57,0', '                   8.             ', ' Tshirina ', 'N.Sechi', '', '53,0']"
               21. September 2014             ,              Hannover            ,2400 m  ,  0 €,,,                     Boden: g-w                  ,"['                   1.             ', ' Echo Mountain ', 'F.Minarik', '', '53,0', '                   2.             ', ' Charmony ', 'M.Seidl', '', '59,0', '                   3.             ', ' Glam Rock ', 'V.Schiergen', '', '53,5', '                   4.             ', ' Wells Wonder ', 'P.Gibson', '', '57,5', '                   5.             ', ' Merci Cherie ', 'A.Crastus', '', '57,5', '                   6.             ', ' Severin ', 'B.Ganbat', '', '59,5', '                   7.             ', ' Fibonacci ', 'J.Mitchell', '', '59,5', '                   8.             ', ' Neapel ', 'M.Guilbert', '', '55,0']"
               23. September 2014             ,              Mons             ,1500 m  ,  0 €,,,                     Boden: Sand                  ,"['                   1.             ', ' Forester (IRE) ', 'V.Debruyne', '', '55,0', '                   2.             ', ' Finaz ', 'G.Braem', '', '58,0', '                   3.             ', ' Three Crowns ', 'J.Pietrasiewicz', '', '57,5', '                   4.             ', ' Smoky Cloud ', 'T.v.d.Troost', '', '58,0', '                   5.             ', ' Rio Bravo ', 'J.Swinnens', '', '57,5', '                   6.             ', ' Hecton Lad ', 'C.Dehens', '', '58,0', '                   7.             ', ' Viennoise ', 'S.Chuette', '', '54,5', '                   8.             ', ' Multifact ', 'D.Porcu', '', '56,0', '                   9.             ', ' Kinout (IRE) ', 'E.Frank', '', '60,0', '                   10.             ', ' Adonis ', 'K.Clijmans', '', '56,0', '                   11.             ', ' Compton Way ', 'J.Heitz', '', '57,0', '                   12.             ', ' Cadologis ', 'Z.Velde', '', '55,0', '                   13.             ', ' Le Bandit ', 'N.Jeanpierre', '', '56,0']"
               23. September 2014             ,              Mons             ,1500 m  ,  0 €,,,                     Boden: Sand                  ,"['                   1.             ', ' Tuckers Law ', 'S.Hellyn', '', '58,0', '                   2.             ', ' Ferro Sensation ', 'E.Pedroza', '', '56,0', '                   3.             ', ' Sir Bruno (FR) ', 'C.Dehens', '', '60,0', '                   4.             ', ' Tricky Tiger (AUT) ', 'F.Minarik', '', '59,0', '                   5.             ', ' Kabyrza ', 'A.Deau', '', '56,5', '                   6.             ', ' Storma Norma ', 'A. Van de Velde', '', '56,5', '                   7.             ', ' Our Three Graces ', 'M.Vancamelbeke', '', '57,5', '                   8.             ', ' Athos ', 'K.Clijmans', '', '56,0', '                   9.             ', ' Rudolf Valentino ', 'T.v.d.Troost', '', '56,0', '                   10.             ', ' Campitello ', 'J.Bojko', '', '57,0', '                   11.             ', ' Florenz ', 'N.Jeanpierre', '', '58,0', '                   12.             ', ' Frederico ', 'J.Heitz', '', '56,0']"
               23. September 2014             ,              Mons             ,950 m  ,  0 €,,,                     Boden: Sand                  ,"['                   1.             ', ' Better Value (IRE) ', 'C.Dehens', '', '60,0', '                   2.             ', ' The Art Of Racing ', 'F.X.Weißmeier', '', '68,0', '                   3.             ', ' Russian Bullet ', 'G.Braem', '', '57,5', '                   4.             ', ' Lisselton Cross (GB) ', 'T.v.d.Troost', '', '60,0', '                   5.             ', ' Diamond Johnny G ', 'E.Pedroza', '', '63,0', '                   6.             ', ' Hidden Destiny (GB) ', 'J.Pietrasiewicz', '', '62,0', '                   7.             ', ' So Well ', 'S.Gillet', '', '55,0', '                   8.             ', ' Mex (BEL) ', 'A.v.d.Troost', '', '53,0', '                   9.             ', ' Coalburn (GB) ', 'D.Porcu', '', '58,5', '                   10.             ', ' Snow Wide ', 'S.Hellyn', '', '60,0', '                   11.             ', ' Avalon Bay ', 'J.Heitz', '', '55,0', '                   12.             ', ' Serevi ', 'K.Donkor', '', '55,0', '                   13.             ', ' Zoro ', 'K.Clijmans', '', '56,5', '                   14.             ', ' Papi Fernand ', 'M.Swinnens', '', '53,0']"
               23. September 2014             ,              Mons             ,2300 m  ,  0 €,,,                     Boden: Sand                  ,"['                   1.             ', ' Parigino (FR) ', 'S.Hellyn', '', '62,0', '                   2.             ', ' Paris Phil ', 'A.Bertiaux', '', '59,0', '                   3.             ', ' Murakami ', 'S.Francois', '', '61,0', '                   4.             ', ' Initiator ', 'D.Porcu', '', '60,0', '                   5.             ', ' Barneys Niece ', 'V.Debruyne', '', '52,0', '                   6.             ', ' Pedregalejo ', 'F.Minarik', '', '58,5', '                   7.             ', ' Zinaida ', 'J.Pietrasiewicz', '', '61,0', '                   8.             ', ' Makin ', 'J.Heitz', '', '54,0', '                   9.             ', ' Lucky Buck ', 'A.v.d.Troost', '', '52,0', '                   10.             ', ' Lezar ', 'N.Jeanpierre', '', '59,5', '                   11.             ', ' Third Half ', 'T.v.d.Troost', '', '61,5']"
               23. September 2014             ,              Mons             ,2300 m  ,  0 €,,,                     Boden: Sand                  ,"['                   1.             ', ' Msola ', 'A.Deau', '', '60,5', '                   2.             ', ' Empress Sissi ', 'D.Porcu', '', '60,5', '                   3.             ', ' Jee Pee De Belgiek ', 'Z.Velde', '', '58,5', '                   4.             ', ' Tae Kwon Do ', 'S.Francois', '', '60,5', '                   5.             ', ' Anthology ', 'M.Swinnens', '', '58,5', '                   6.             ', ' Glens Volt ', 'T.v.d.Troost', '', '61,5', '                   7.             ', ' Zeus ', 'S.Hellyn', '', '62,0', '                   8.             ', ' Amoretti ', 'C.Dehens', '', '60,5', '                   9.             ', ' Last Baie ', 'A.v.d.Troost', '', '58,5', '                   10.             ', ' Holzer ', 'J.Heitz', '', '62,0']"
               23. September 2014             ,              Mons             ,2850 m  ,  0 €,,,                     Boden: Sand                  ,"['                   1.             ', ' Boshoevenscarlet ', 'T.v.d.Troost', '', '56,5', '                   2.             ', ' Kimbar ', 'J.Bojko', '', '59,0', '                   3.             ', ' Spark ', 'S.Francois', '', '59,0', '                   4.             ', ' Quezon ', 'F.Minarik', '', '54,5', '                   5.             ', ' Chilbury Hill ', 'K.Clijmans', '', '59,0', '                   6.             ', ' Lord Singer (FR) ', 'M.Vancamelbeke', '', '57,5', '                   7.             ', ' Bellarte ', 'B. De Koninck', '', '56,5', '                   8.             ', ' Cavité Zeta ', 'S.Hellyn', '', '56,0']"
